branch,tree,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,twigs,spurs,scars
217,15,73,215,4,50,,15,39,23.5
218,15,74,210,3,10,,10,26,49.4
219,15,74,218,4,310,,30,82,12.3
220,15,74,218,3,10,,15,46,30.5
221,15,74,220,4,310,,30,123,14.6
222,15,74,220,3,10,,0,52,24.8
223,15,74,189,3,0,,90,55,39.3
224,15,74,223,4,260,,65,67.5,25.9
225,15,74,223,4,0,,90,37,28.2
226,15,74,225,5,10,,50,82.5,12.9
227,15,74,225,4,320,,50,37,22.8
228,15,74,240,3,130,,45,76.5,46.9
229,15,74,228,4,100,,0,95,11.8
230,15,74,228,3,100,,35,60,34.7
231,15,74,230,4,10,,40,34,19.3
232,15,74,230,3,90,,35,39,23.7
233,15,74,232,4,150,,55,29.5,15.8
234,15,74,232,3,90,,15,37.5,11.8
235,15,74,237,5,340,,20,92.5,8.4
236,15,74,237,4,270,,0,59,14.2
237,15,74,146,4,310,,0,28,21.3
238,15,74,147,2,240,,80,31.5,95.3
239,15,74,238,3,250,,15,64,9.2
240,15,74,238,2,210,,60,25,86
241,15,74,240,2,230,,60,15.5,73.3
242,15,74,241,3,330,,0,57.5,17.8
243,15,74,241,2,260,,45,25,72
244,15,74,243,3,0,,0,42,10.9
245,15,74,243,3,320,,65,25,34.7
246,15,74,245,4,310,,25,63.5,15.7
247,15,74,245,4,270,,30,76,20.6
248,15,74,245,4,150,,40,17.5,23.1
249,15,74,248,5,180,,55,81.5,12.4
250,15,74,248,5,160,,65,55,15.7
251,15,74,243,3,150,,55,40,57.7
252,15,74,251,4,30,,45,100,22.4
253,15,74,251,4,240,,35,26,35.9
254,15,74,253,5,170,,15,78,13.2
255,15,74,253,4,240,,55,31,31.2,,,,
256,15,74,255,5,110,,35,47,15.3,,,,
257,15,74,255,4,280,,60,34,26.3,,,,
258,15,74,257,5,190,,20,45,11.4,,,,
259,15,74,257,4,250,,50,93,13,,,,
260,15,74,251,3,120,,35,33,43.6,,,,
261,15,74,260,4,50,,0,105.5,10.8,,,,
262,15,74,260,3,100,,45,35,42.9,,,,
263,15,74,262,4,70,,60,108,22.5,,,,
264,15,74,262,3,120,,45,102,19.5,,,,
0,1,76,,0,,,,,,,17,,
1,1,76,0,1,,,,,186,194,0,0,5
2,1,76,1,2,220,,,56.5,99,,0,0,7
3,1,76,2,3,,,,119.5,49.8,,3,0,24
4,1,76,3,4,,,,94.5,20.1,,7,2,15
5,1,76,4,5,,,,66,8.3,,5,3,0
6,1,76,3,4,,,,71,36.1,,14,0,8
7,1,76,6,5,,,,12,30.2,,1,0,0
8,1,76,7,6,,,,134,8.8,,9,8,1
9,1,76,7,6,,,,53,14.3,,9,3,2
10,1,76,1,2,0,,,30,135.5,,3,0,10
11,1,76,10,2,310,,,63,91.3,,9,7,5
12,1,76,11,3,,,,80,31,,7,0,9
13,1,76,12,3,,,,32,20.6,,2,0,4
14,1,76,13,4,,,,26.5,9.6,,4,2,3
15,1,76,13,4,,,,17,16,,1,1,1
16,1,76,15,5,,,,41.5,9.8,,11,1,1
17,1,76,15,5,,,,36,10.1,,10,0,2
18,1,76,11,2,,,,22,90.8,,11,5,8
19,1,76,18,2,,,,88,75.6,,20,0,14
20,1,76,19,3,,,,120,24,,25,3,0
21,1,76,19,3,,,,66.5,31.2,,10,3,12
22,1,76,21,3,,,,38.5,18.1,,6,0,5
23,1,76,2,2,,,,46.5,80,,0,0,8
24,1,76,23,3,,,,36,29.3,,3,3,4
25,1,76,23,2,,,,114,73.1,,5,1,14
26,1,76,25,3,,,,84.5,46.9,,15,0,2
27,1,76,25,2,,,,32,55.8,,5,0,4
28,1,76,27,3,,,,45,31,,13,2,1
29,1,76,28,4,,,,62,13.8,,6,4,2
30,1,76,28,3,,,,47,41.3,,4,2,3
31,1,76,30,4,,,,120.5,23,,17,5,2
32,1,76,30,3,,,,,,,,,
33,1,76,32,4,,,,60,17.8,,10,4,1
34,1,89,26,4,,,,116,13.5,,23,1,4
35,1,89,26,3,,,,29.5,39.5,,3,1,1
36,1,89,35,4,,,,81,11.4,,13,5,2
37,1,89,36,5,,,,73,11,,16,0,4
38,1,89,36,5,,,,101,9.1,,19,1,2
39,1,89,35,4,,,,51,28.1,,6,3,0
40,1,89,39,5,,,,53.5,21.2,,8,2,0
41,1,89,39,5,,,,61.5,11.5,,8,5,1
42,1,89,27,3,,,,107,27.8,,15,13,1
43,1,89,27,3,,,,155,18.4,,19,6,3
44,1,89,1,2,120,,,139,121,,1,1,13
45,1,89,44,3,,,,25,76,,2,0,2
46,1,89,45,4,,,,55,11.3,,11,1,0
47,1,89,45,3,,,,34,76.8,,0,0,12
48,1,89,47,4,,,,123,53,,18,1,5
49,1,89,48,5,,,,101.5,18.9,,15,5,3
50,1,89,48,4,,,,46.5,44.6,,10,2,0
51,1,89,50,5,,,,68,18.1,,8,10,3
52,1,89,50,5,,,,96,16.9,,15,12,0
53,1,89,50,4,,,,73,24.5,,9,9,9
54,1,89,44,2,,,,77.5,92,,6,0,15
55,1,89,54,3,,,,41.5,17.7,,9,0,1
56,1,89,54,3,,,,67.5,17.5,,11,2,6
57,1,89,54,2,,,,73,81.5,,13,0,14
58,1,89,57,3,,,,107,27.8,,15,3,6
59,1,89,57,3,,,,13.5,66,,0,0,3
60,1,89,59,4,,,,129.5,20.6,,16,16,2
61,1,89,60,4,,,,33,56.3,,4,0,6
62,1,89,61,5,,,,62,18,,8,0,1
63,1,89,61,5,,,,27.5,40,,2,0,2
64,1,89,63,6,,,,29,37.7,,7,1,1
65,1,89,63,6,,,,37.5,22.1,,8,0,3
66,1,89,61,4,,,,102,34.4,,24,1,6
0,7,108,,0,,,,,,,61,,
1,7,108,0,1,,,,84,159,170,3,3,11
2,7,108,1,2,340,,,70,85,,5,0,10
