Tree,Position,Branch,No.,Dry Weight [g],Area [mm^2],Perimeter [mm],SLA [cm^2/g],,
22,L,,13,0.3185,,,,,
22,L,,14,0.2203,,,,,
22,L,,15,0.1364,,,,,
23,D,,1,0.2309,,,,,
23,D,,2,0.1576,,,,,
23,D,,3,0.1449,,,,,
23,D,,4,0.0455,,,,,
23,D,,5,0.1439,,,,,
23,D,,6,0.0958,,,,,
23,D,,7,0.1451,,,,,
23,D,,8,0.2229,,,,,
23,D,,9,0.0502,,,,,
23,D,,10,0.2169,,,,,
23,D,,11,0.1796,,,,,
23,D,,12,0.1478,,,,,
23,D,,13,0.2569,,,,,
23,D,,14,0.201,,,,,
23,D,,15,0.0475,,,,,
23,L,,1,0.0623,,,,,
23,L,,2,0.0557,,,,,
23,L,,3,0.1767,,,,,
23,L,,4,0.3477,,,,,
23,L,,5,0.1776,,,,,
23,L,,6,0.152,,,,,
23,L,,7,0.3208,,,,,
23,L,,8,0.3065,,,,,
23,L,,9,0.2632,,,,,
23,L,,10,0.2578,,,,,
23,L,,11,0.2455,,,,,
23,L,,12,0.2906,,,,,
23,L,,13,0.0754,,,,,
23,L,,14,0.3096,,,,,
23,L,,15,0.1046,,,,,
24,D,,1,0.0783,,,,,
24,D,,2,0.046,,,,,
24,D,,3,0.1897,,,,,
24,D,,4,0.1046,,,,,
24,D,,5,0.1343,,,,,
24,D,,6,0.2217,,,,,
24,D,,7,0.1186,,,,,
24,D,,8,0.1233,,,,,
24,D,,9,0.0475,,,,,
24,D,,10,0.2105,,,,,
24,D,,11,0.1272,,,,,
24,D,,12,0.2964,,,,,
24,D,,13,0.2175,,,,,
24,D,,14,0.0659,,,,,
24,D,,15,0.2059,,,,,
24,L,,1,0.2119,,,,,
24,L,,2,0.0526,,,,,
24,L,,3,0.1983,,,,,
24,L,,4,0.2824,,,,,
24,L,,5,0.1288,,,,,
24,L,,6,0.2998,,,,,
24,L,,7,0.085,,,,,
24,L,,8,0.0463,,,,,
24,L,,9,0.0792,,,,,
24,L,,10,0.1472,,,,,
24,L,,11,0.1726,,,,,
24,L,,12,0.1745,,,,,
24,L,,13,0.2585,,,,,
24,L,,14,0.2424,,,,,
24,L,,15,0.1222,,,,,
25,D,,1,0.1959,,,,,
25,D,,2,0.1761,,,,,
25,D,,3,0.083,,,,,
25,D,,4,0.3778,,,,,
25,D,,5,0.0605,,,,,
25,D,,6,0.2553,,,,,
25,D,,7,0.1221,,,,,
25,D,,8,0.0641,,,,,
25,D,,9,0.1196,,,,,
25,D,,10,0.1022,,,,,
25,D,,11,0.0131,,,,,
25,D,,12,0.0483,,,,,
25,D,,13,0.1258,,,,,
25,D,,14,0.172,,,,,
25,D,,15,0.1303,,,,,
25,L,,1,0.2573,,,,,
25,L,,2,0.2198,,,,,
25,L,,3,0.3438,,,,,
25,L,,4,0.2336,,,,,
25,L,,5,0.0859,,,,,
25,L,,6,0.0804,,,,,
25,L,,7,0.1495,,,,,
25,L,,8,0.2356,,,,,
25,L,,9,0.064,,,,,
25,L,,10,0.2103,,,,,
25,L,,11,0.1181,,,,,
25,L,,12,0.0845,,,,,
25,L,,13,0.0746,,,,,
25,L,,14,0.059,,,,,
25,L,,15,0.1412,,,,,
26,D,,1,0.0457,,,,,
26,D,,2,0.3398,,,,,
26,D,,3,0.0576,,,,,
26,D,,4,0.0885,,,,,
26,D,,5,0.1719,,,,,
26,D,,6,0.2954,,,,,
26,D,,7,0.3469,,,,,
26,D,,8,0.0737,,,,,
26,D,,9,0.1468,,,,,
26,D,,10,0.0197,,,,,
26,D,,11,0.07,,,,,
26,D,,12,0.1679,,,,,
26,D,,13,0.0409,,,,,
26,D,,14,0.1051,,,,,
26,D,,15,0.1705,,,,,
26,L,,1,0.2023,,,,,
26,L,,2,0.1915,,,,,
26,L,,3,0.0506,,,,,
26,L,,4,0.2231,,,,,
26,L,,5,0.1894,,,,,
26,L,,6,0.0456,,,,,
26,L,,7,0.1876,,,,,
26,L,,8,0.1828,,,,,
26,L,,9,0.1075,,,,,
26,L,,10,0.3556,,,,,
26,L,,11,0.1979,,,,,
