"","n","a","s"
"229",105,104,7.7
"230",106,104,75.6
"231",107,106,5.7
"232",108,106,27.9
"233",109,124,1837.7
"234",110,109,11.8
"235",111,109,2888
"236",112,111,2.7
"237",113,111,5569.5
"238",114,113,1047.2
"239",115,114,45.5
"240",116,114,5.6
"241",117,114,11.7
"242",118,114,309
"243",119,118,14.8
"244",120,118,37.4
"245",121,120,12.9
"246",122,121,5.9
"247",123,120,10.9
"248",124,5,13713
"249",125,118,38.2
"250",126,118,20.3
"251",127,113,481.6
"252",128,127,87
"253",129,127,255.6
"254",130,129,36.6
"255",131,129,76.8
"256",132,139,16
"257",133,132,43.2
"258",134,133,61.2
"259",135,139,10.6
"260",136,139,15.4
"261",137,136,25.9
"262",138,136,59.8
"263",139,129,282.8
"264",140,42,17974
"265",141,140,13.5
"266",142,140,17965.8
"267",143,142,77.8
"268",144,142,258.8
"269",145,142,7203.2
"270",146,6,326.4
"271",147,6,35996.8
"272",148,147,1554.3
"273",149,157,14.8
"274",150,158,41
"275",151,148,13.5
"276",152,148,528.8
"277",153,152,7.9
"278",154,152,248.5
"279",155,163,34.7
"280",156,163,14.8
"281",157,163,194
"282",158,157,34.8
"283",159,158,3.5
"284",160,150,14.8
"285",161,150,13.4
"286",162,154,9.6
"287",163,154,157.2
"288",164,145,51.3
"289",165,145,2428.5
"290",166,165,46.8
"291",167,165,2293.2
"292",168,165,2993.6
"293",169,168,33.8
"294",170,168,840
"295",171,170,36.1
"296",172,170,34.3
"297",173,170,41.8
"298",174,170,16.7
"299",175,170,43.6
"300",176,170,167.6
"301",177,176,48.8
"302",178,176,33.6
"303",179,167,54.1
"304",180,167,70.1
"305",181,167,55.1
"306",182,167,335.7
"307",183,182,29.9
"308",184,182,56.9
"309",185,182,23.8
"310",186,73,112754.4
"311",187,186,171.9
"312",188,187,234.4
"313",189,186,51118.2
"314",190,189,12233.1
"315",191,190,684.8
"316",192,191,99.5
"317",193,191,242.1
"318",194,193,12.8
"319",195,193,69.6
"320",196,195,31.7
"321",197,195,110.1
"322",198,190,1706.6
"323",199,198,73.4
"324",200,198,1463.4
"325",201,200,2088
"326",202,201,68.7
"327",203,201,870.5
"328",204,203,52.9
"329",205,203,219.6
"330",206,205,29.8
"331",207,205,26.7
"332",208,205,16.6
"333",209,205,89.7
"334",210,189,4457.6
"335",211,210,4045.2
"336",212,211,127.8
"337",213,211,865.5
"338",214,213,131.4
"339",215,213,198.8
"340",216,215,19.6
"341",217,215,109
"342",218,210,809.7
"343",219,218,62.9
"344",220,218,462.2
"345",221,220,128.2
"346",222,220,98.3
"347",223,189,1607.4
"348",224,223,201.9
"349",225,223,209
"350",226,225,85.1
"351",227,225,84.2
"352",228,240,942.8
"353",229,228,107.4
"354",230,228,1042.5
"355",231,230,59.5
"356",232,230,211.6
"357",233,232,39.4
"358",234,232,32.3
"359",235,237,46.1
"360",236,237,56
"361",237,146,128.8
"362",238,147,25319.4
"363",239,238,39
"364",240,238,14475.6
"365",241,240,6449.8
"366",242,241,88.2
"367",243,241,7489.3
"368",244,243,29.2
"369",245,243,749.6
"370",246,245,860
"371",247,245,119.1
"372",248,245,103.2
"373",249,248,56.4
"374",250,248,68.3
"375",251,243,5340.8
"376",252,251,220.5
"377",253,251,684
"378",254,253,70
"379",255,253,608.4
"380",256,255,56.1
"381",257,255,229.6
"382",258,257,34
"383",259,257,74.4
"384",260,251,1051.2
"385",261,260,54
"386",262,260,534.6
"387",263,262,232.3
"388",264,262,226
"389",265,100,7.5
