"","species","tree","length_ratio","diameter_ratio","mass_ratio"
"413",2,1,0.901,0.965,0.724
"414",2,1,1.247,0.798,0.736
"415",2,1,1.729,0.711,1.147
"416",2,1,1.049,0.754,0.486
"417",2,1,1.206,0.409,0.234
"418",2,1,3.344,0.498,0.727
"419",2,1,4.844,0.33,0.535
"420",2,1,NA,0.651,0.74
"421",2,1,0.18,0.628,0.109
"422",2,1,2.2,0.149,0.039
"423",2,1,1.36,1.011,1.061
"424",2,1,3.618,0.69,1.743
"425",2,1,0.825,0.357,0.155
"426",2,1,0.378,0.842,0.25
"427",2,1,1.462,0.406,0.288
"428",2,1,2.065,0.379,0.323
"429",2,1,1.57,0.549,0.627
"430",2,1,0.558,0.76,0.394
"431",2,1,0.535,0.192,0.022
"432",2,1,0.871,0.19,0.045
"433",2,1,0.942,0.886,0.798
"434",2,1,1.466,0.341,0.222
"435",2,1,0.185,0.81,NA
"436",2,1,9.593,0.312,NA
"437",2,1,0.255,2.733,2.304
"438",2,1,1.879,0.32,0.09
"439",2,1,0.833,0.71,0.244
"440",2,1,1.055,0.943,0.833
"441",2,1,1.364,0.552,0.426
"442",2,1,3.091,0.611,0.664
"443",NA,NA,NA,NA,NA
"444",NA,NA,NA,NA,NA
"445",2,7,0.833,0.535,0.344
"446",2,7,0.307,0.34,0.034
"447",2,7,0.4,1.035,0.391
"448",2,7,5.179,0.185,0.217
"449",2,7,0.976,0.597,0.411
"450",2,7,0.787,0.215,0.032
"451",2,7,0.756,0.584,0.261
"452",2,7,0.952,0.209,0.051
"453",2,7,1.492,0.434,0.266
"454",2,7,0.903,1.387,0.645
"455",2,7,1.339,0.168,0.099
"456",2,7,1.125,0.368,0.422
"457",2,7,1.464,0.53,0.802
"458",2,7,3.235,0.706,2.361
"459",2,7,0.417,0.55,0.159
"460",2,7,0.583,0.767,0.31
"461",2,7,4.173,0.252,0.393
"462",2,7,0.878,0.77,0.684
"463",2,7,0.207,0.798,0.129
"464",NA,NA,NA,NA,NA
"465",NA,NA,NA,NA,NA
"466",2,10,0.414,0.768,0.246
"467",2,10,5.04,0.603,2.728
"468",2,10,0.787,0.737,0.498
"469",2,10,3.627,0.28,0.281
"470",2,10,2.746,0.909,2.925
"471",2,10,0.778,0.608,0.233
"472",2,10,1.198,0.237,0.058
"473",2,10,0.519,0.547,0.231
"474",2,10,1.809,0.533,0.513
"475",2,10,0.588,0.91,0.339
"476",2,10,1.75,0.848,0.914
"477",2,10,3.106,0.842,1.928
"478",2,10,0.718,0.488,0
"479",2,10,1.338,0.383,Inf
"480",2,10,0.162,0.973,NA
"481",2,10,0.671,0.213,0.034
"482",2,10,0.623,0.385,0.123
"483",2,10,0.195,1.048,0.184
"484",2,10,3.93,0.331,0.655
"485",2,10,1.684,0.633,0.832
"486",2,10,0.729,0.465,0.171
"487",2,10,2.357,0.58,1.003
"488",2,10,0.486,0.649,0.203
"489",2,10,2.385,0.616,0.828
"490",2,10,0.254,0.688,0.112
"491",2,10,2.208,0.488,0.554
"492",2,10,1.312,0.878,0.875
"493",2,10,1.603,0.424,0.318
"494",2,10,1.525,1.108,1.989
"495",2,10,0.865,0.176,0.019
"496",2,10,0.265,0.774,0.159
"497",2,10,0.96,0.6,0.336
"498",2,10,0.64,0.735,0.353
"499",2,10,2.594,0.574,0.842
"500",2,10,1.781,0.387,0.541
"501",2,10,1.385,0.572,0.368
"502",2,10,2.271,0.654,0.686
"503",NA,NA,NA,NA,NA
"504",NA,NA,NA,NA,NA
"505",2,13,1.055,0.349,0.178
"506",2,13,0.839,0.206,0.031
"507",2,13,0.471,1.071,0.639
"508",2,13,1.463,0.627,0.328
"509",2,13,1.017,0.284,0.081
"510",2,13,0.675,0.848,0.409
"511",2,13,1.111,0.451,0.369
"512",2,13,0.593,0.321,0.081
"513",2,13,1.383,0.754,0.857
"514",2,13,0.964,0.625,0.25
"515",2,13,1.317,0.763,0.631
"516",2,13,1.556,0.419,0.214
"517",2,13,0.963,0.27,0.045
"518",2,13,0.852,1.247,0.896
"519",2,13,0.87,0.265,0.065
"520",2,13,1.196,0.75,0.815
"521",2,13,1.691,0.51,0.23
"522",2,13,0.345,0.774,0.197
"523",2,13,3.211,0.528,0.736
"524",2,13,3.842,0.614,1.287
"525",2,13,1.2,0.469,0.191
"526",2,13,0.645,0.37,0.07
"527",2,13,NA,NA,0.174
"528",2,13,NA,NA,1.012
"529",2,13,1,0.901,0.221
"530",2,13,1.909,0.538,1.801
"531",2,13,2.952,0.834,0.579
"532",2,13,1.455,0.994,0.554
"533",2,13,3.938,0.826,1.394
"534",2,13,0.706,0.521,0.177
"535",2,13,0.77,0.517,0.331
"536",2,13,0.697,0.645,0.25
"537",2,13,1.843,0.533,0.725
"538",2,13,1.264,0.38,0.118
"539",2,13,0.434,1.054,0.313
"540",2,13,0.576,0.827,0.365
"541",2,13,0.965,0.869,0.684
"542",2,13,2.234,0.213,0.119
"543",2,13,1.459,0.683,1.071
"544",2,13,0.914,0.293,0.05
"545",2,13,0.778,0.973,0.713
"546",2,13,1.603,0.236,0.093
"547",2,13,0.762,0.858,0.494
"548",2,13,0.885,0.468,0.216
"549",2,13,NA,NA,0.743
"550",2,13,NA,NA,1.306
"551",2,13,NA,NA,0.189
"552",2,13,4.333,0.408,0.717
"553",2,13,NA,NA,0.537
"554",2,13,NA,NA,0.421
"555",2,13,NA,NA,1.225
"556",2,13,NA,NA,0.172
"557",2,13,NA,NA,0.037
"558",2,13,NA,NA,0.253
"559",2,13,NA,NA,0.269
"560",2,13,NA,NA,1.541
"561",2,13,NA,NA,0.117
"562",2,13,NA,NA,0.257
"563",2,13,NA,NA,0.412
"564",NA,NA,NA,NA,NA
"565",NA,NA,NA,NA,NA
"566",2,15,0.263,0.594,0.096
"567",2,15,0.242,0.989,0.189
"568",2,15,1.244,0.702,1.028
"569",2,15,3.821,0.482,0.872
"570",2,15,2.607,0.736,1.374
"571",2,15,0.795,0.26,0.049
"572",2,15,0.431,0.23,0.101
"573",2,15,0.483,0.502,0.297
"574",2,15,1.464,0.533,0.6
"575",2,15,0.244,0.406,0.148
"576",2,15,0.39,0.312,0.162
"577",2,15,0.8,1.218,0.544
"578",2,15,2.041,0.346,0.255
"579",2,15,0.43,0.308,0.05
"580",2,15,1.286,0.242,0.14
"581",2,15,1.75,0.4,0.159
"582",2,15,0.735,0.869,0.599
"583",2,15,3.222,0.391,0.516
"584",2,15,0.569,0.434,0.107
"585",2,15,1.061,0.266,0.101
"586",2,15,0.545,0.734,0.368
"587",2,15,3.722,0.638,1.486
"588",2,15,0.667,0.517,0.218
"589",2,15,0.284,0.835,0.213
"590",2,15,1,0.184,0.038
"591",2,15,0.97,1.016,0.847
"592",2,15,2.125,0.239,0.156
"593",2,15,0.5,0.797,0.392
"594",2,15,1.562,0.858,1.672
"595",2,15,0.84,0.208,0.059
"596",2,15,1.16,0.128,0.03
"597",2,15,1.14,0.762,0.605
"598",2,15,0.491,0.277,0.05
"599",2,15,0.772,0.96,0.621
"600",2,15,2.114,0.464,0.425
"601",2,15,0.727,0.83,0.539
"602",2,15,2.312,0.453,0.432
"603",2,15,0.75,0.857,0.689
"604",2,15,5.5,0.645,1.621
"605",2,15,3.88,0.279,0.16
"606",2,15,2.692,0.88,2.564
"607",2,15,0.429,0.349,0.051
"608",2,15,0.167,0.166,0.008
"609",2,15,3.857,0.163,0.133
"610",2,15,0.233,0.996,0.205
"611",2,15,2.286,0.86,2.11
"612",2,15,0.906,0.279,0.08
"613",2,15,0.469,1.072,0.452
"614",2,15,3.2,0.185,0.168
"615",2,15,1.533,0.962,1.803
"616",2,15,0.783,0.262,0.069
"617",2,15,0.435,1.114,0.557
"618",2,15,9,0.231,0.297
"619",2,15,1.3,1.314,1.292
"620",2,15,12.923,0.37,2.733
"621",2,15,1.444,0.906,1.168
"622",2,15,0.214,0.363,0.03
"623",2,15,1.033,0.171,0.04
"624",2,15,0.8,0.989,0.732
"625",2,15,1.083,0.218,0.077
"626",2,15,0.538,0.759,0.4
