grower,block,id,light_id,tree,scaffold,bearing,declination,length,diameter
SS,1,32,13,1,3,360,55,227,56
SS,1,32,13,2,0,,,102,90
SS,1,32,13,2,1,60,60,262,58
SS,1,32,13,2,2,200,60,228,52
SS,1,32,13,2,3,320,45,242,59
SS,1,32,13,3,0,,,92,82
SS,1,32,13,3,1,80,60,228,39
SS,1,32,13,3,2,200,55,210,31
SS,1,32,13,3,3,350,60,287,72
SS,1,32,13,4,0,,,137,85
SS,1,32,13,4,1,350,20,239,58
SS,1,32,13,4,2,160,15,217,47
SS,1,32,13,4,3,280,10,242,53
SS,1,32,13,5,0,,,106,95
SS,1,32,13,5,1,80,55,308,68
SS,1,32,13,5,2,210,60,263,57
SS,1,32,13,5,3,340,60,265,60
SS,4,33,14,1,0,,,91,178
SS,4,33,14,1,1,90,60,419,98
SS,4,33,14,1,2,230,60,482,117
SS,4,33,14,1,3,310,70,413,103
SS,4,33,14,2,0,,,88,204
SS,4,33,14,2,1,30,50,326,94
SS,4,33,14,2,2,70,50,359,85
SS,4,33,14,2,3,150,65,450,139
SS,4,33,14,2,4,260,60,442,138
SS,4,33,14,3,0,,,100,205
SS,4,33,14,3,1,80,55,301,79
SS,4,33,14,3,2,100,50,491,150
SS,4,33,14,3,3,260,40,451,112
SS,4,33,14,3,4,310,30,372,79
SS,4,33,14,4,0,,,93,203
SS,4,33,14,4,1,60,45,324,61
SS,4,33,14,4,2,170,55,479,125
SS,4,33,14,4,3,250,65,477,114
SS,4,33,14,4,4,350,65,322,112
SS,4,33,14,4,5,40,55,483,92
SS,4,33,14,5,0,,,94,205
SS,4,33,14,5,1,120,45,463,145
SS,4,33,14,5,2,260,40,378,123
SS,4,33,14,5,3,310,45,398,118
SS,5,34,,1,0,,,100,183
SS,5,34,,1,1,90,50,511,114
SS,5,34,,1,2,180,50,470,95
SS,5,34,,1,3,280,50,514,125
SS,5,34,,1,4,330,55,474,98
SS,5,34,,2,0,,,91,165
SS,5,34,,2,1,120,45,473,98
SS,5,34,,2,2,180,60,535,98
SS,5,34,,2,3,310,60,322,85
SS,5,34,,2,4,0,50,395,80
SS,5,34,,3,0,,,90,196
SS,5,34,,3,1,10,60,422,105
SS,5,34,,3,2,130,55,470,129
SS,5,34,,3,3,330,45,470,119
SS,5,34,,4,0,,,102,212
SS,5,34,,4,1,340,45,425,105
SS,5,34,,4,2,150,45,515,153
SS,5,34,,4,3,280,40,598,120
SS,5,34,,5,0,,,88,178
SS,5,34,,5,1,340,45,423,100
SS,5,34,,5,2,100,40,382,95
SS,5,34,,5,3,200,45,435,98
SS,5,34,,5,4,280,45,406,76
SS,6,35,,1,0,,,110,167
SS,6,35,,1,1,70,45,456,107
SS,6,35,,1,2,160,40,467,85
SS,6,35,,1,3,240,45,481,99
SS,6,35,,1,4,320,60,428,92
SS,6,35,,2,0,,,104,166
SS,6,35,,2,1,60,40,455,75
SS,6,35,,2,2,130,60,459,104
SS,6,35,,2,3,230,45,399,78
SS,6,35,,2,4,330,50,476,124
SS,6,35,,3,0,,,106,152
SS,6,35,,3,1,100,50,469,91
SS,6,35,,3,2,200,50,428,109
SS,6,35,,3,3,280,40,341,57
SS,6,35,,3,4,10,45,466,90
SS,6,35,,4,0,,,122,163
SS,6,35,,4,1,60,50,439,107
SS,6,35,,4,2,160,60,434,79
SS,6,35,,4,3,230,75,419,81
SS,6,35,,4,4,310,55,409,101
SS,6,35,,5,0,,,95,169
SS,6,35,,5,1,70,35,459,120
SS,6,35,,5,2,190,30,480,120
SS,6,35,,5,3,240,30,474,102
SS,6,35,,5,4,340,35,477,90
SS,9,36,15,1,0,,,98,122
SS,9,36,15,1,1,60,40,348,95
SS,9,36,15,1,2,180,45,337,79
SS,9,36,15,1,3,280,45,321,79
SS,9,36,15,2,0,,,118,125
SS,9,36,15,2,1,100,35,320,72
SS,9,36,15,2,2,210,50,333,81
SS,9,36,15,2,3,310,45,348,97
SS,9,36,15,3,0,,,102,137
SS,9,36,15,3,1,140,55,449,86
SS,9,36,15,3,2,270,50,374,70
SS,9,36,15,3,3,340,60,395,89
SS,9,36,15,4,0,,,108,141
SS,9,36,15,4,1,80,50,371,98
SS,9,36,15,4,2,190,50,355,85
SS,9,36,15,4,3,300,45,343,92
SS,9,36,15,5,0,,,98,158
SS,9,36,15,5,1,10,55,408,104
SS,9,36,15,5,2,130,40,399,117
SS,9,36,15,5,3,240,35,393,108
SS,10,37,,1,0,,,94,180
SS,10,37,,1,1,80,45,387,106
SS,10,37,,1,2,140,55,445,86
SS,10,37,,1,3,250,55,410,73
SS,10,37,,1,4,310,65,373,118
SS,10,37,,2,0,,,89,197
SS,10,37,,2,1,40,65,477,124
SS,10,37,,2,2,150,65,486,104
SS,10,37,,2,3,190,65,457,105
SS,10,37,,3,0,,,112,195
SS,10,37,,3,1,10,55,481,111
SS,10,37,,3,2,100,50,475,138
SS,10,37,,3,3,200,45,523,100
SS,10,37,,3,4,310,45,409,78
SS,10,37,,4,0,,,92,241
SS,10,37,,4,1,30,40,435,155
SS,10,37,,4,2,90,50,596,140
SS,10,37,,4,3,150,50,476,115
SS,10,37,,4,4,300,60,511,125
SS,10,37,,5,0,,,102,219
SS,10,37,,5,1,90,60,413,144
SS,10,37,,5,2,200,70,415,131
SS,10,37,,5,3,250,55,437,113
SS,12,38,,1,0,,,117,172
SS,12,38,,1,1,310,45,452,92
SS,12,38,,1,2,40,25,432,128
SS,12,38,,1,3,200,65,459,112
SS,12,38,,2,0,,,103,179
SS,12,38,,2,1,40,50,466,98
SS,12,38,,2,2,100,50,474,123
SS,12,38,,2,3,210,45,447,83
SS,12,38,,2,4,310,40,456,104
SS,12,38,,3,0,,,120,144
SS,12,38,,3,1,0,55,373,94
SS,12,38,,3,2,130,60,380,97
SS,12,38,,3,3,270,55,304,64
SS,12,38,,4,0,,,93,165
SS,12,38,,4,1,340,60,442,133
SS,12,38,,4,2,160,55,456,108
SS,12,38,,4,3,250,50,433,104
SS,12,38,,5,0,,,105,154
SS,12,38,,5,1,360,35,404,197
SS,12,38,,5,2,120,65,451,103
SS,12,38,,5,3,230,60,404,102
