"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"11","CG.3041-1","3.5228;2.5937;4.45;-1.1591;-1.9456;-0.69;0.032","0.357;-0.2988;1.01;1.1892;0.8245;1.72;0.537","-0.5898;-1.5306;0.35;1.9036;1.3688;2.65;0.628","0.7547;0.1061;1.4;0.6536;0.5292;0.81;0.851","0.607;0.2931;0.92;0.7046;0.6423;0.77;0.972","0.1509;-0.2332;0.54;0.8066;0.7313;0.89;0.968","-0.73;-1.3787;-0.08;0.4708;0.3518;0.63;0.712","-0.5244;-0.8555;-0.19;0.4138;0.3507;0.49;0.909","-0.3419;-0.6257;-0.06;0.3728;0.3189;0.44;0.919","-0.6962;-1.9959;0.6;0.5456;0.3343;0.89;0.142","-0.2666;-0.8982;0.37;0.4921;0.3781;0.64;0.765","-1.2405;-2.0714;-0.41;0.7097;0.5589;0.9;0.808","-1.2735;-2.5113;-0.04;0.7202;0.4648;1.12;0.326","-0.8809;-1.4408;-0.32;0.5874;0.4637;0.74;0.812","-0.4116;-0.8362;0.01;0.4622;0.3694;0.58;0.831","-1.3262;-2.5636;-0.09;0.8348;0.5705;1.22;0.498","-0.6906;-1.2021;-0.18;0.6985;0.582;0.84;0.889","-1.3733;-1.9088;-0.84;0.8799;0.7579;1.02;0.926","0.4747;-0.2168;1.17;0.5539;0.3433;0.89;0.185","0.8805;0.5841;1.18;0.4579;0.3609;0.58;0.809","0.2483;-0.1736;0.67;0.733;0.5929;0.91;0.849","-0.5864;-1.6091;0.44;2.0927;1.5102;2.9;0.636","-0.6345;-1.2133;-0.06;2.397;2.0355;2.82;0.911","-2.1141;-2.5438;-1.68;0.9851;0.8973;1.08;0.971","-1.6838;-2.7851;-0.58;0.866;0.6669;1.12;0.769","-2.0313;-2.3646;-1.7;0.9683;0.902;1.04;0.983","1.3569;0.4486;2.27;-0.9602;-1.6201;-0.57;0.088"
"12","CG.3041-1+","3.5228;2.5937;4.45;-1.1591;-1.9456;-0.69;0.032","0.3103;-0.3852;1.01;1.2306;0.8458;1.79;0.514","0.0912;-0.8289;1.01;1.7909;1.2717;2.52;0.598","0.7547;0.1061;1.4;0.6536;0.5292;0.81;0.851","-","0.5034;0.0992;0.91;0.7446;0.666;0.83;0.959","-0.73;-1.3787;-0.08;0.4708;0.3518;0.63;0.712","-","-0.3632;-0.6544;-0.07;0.3767;0.3215;0.44;0.916","-0.6962;-1.9959;0.6;0.5456;0.3343;0.89;0.142","-0.1367;-0.7375;0.46;0.4636;0.3562;0.6;0.765","-0.5593;-1.4203;0.3;0.6746;0.5204;0.87;0.772","-1.2735;-2.5113;-0.04;0.7202;0.4648;1.12;0.326","-","-0.6179;-1.1279;-0.11;0.5059;0.3971;0.64;0.802","-1.3262;-2.5636;-0.09;0.8348;0.5705;1.22;0.498","-0.4501;-1.0129;0.11;0.6226;0.5008;0.77;0.841","-1.0154;-1.6542;-0.38;0.9061;0.7642;1.07;0.903","0.2854;-0.4478;1.02;0.5871;0.3743;0.92;0.285","0.636;0.1808;1.09;0.5134;0.3799;0.69;0.692","0.5652;-0.0411;1.17;0.7471;0.5668;0.98;0.742","-0.2309;-1.3845;0.92;1.9742;1.3407;2.91;0.48","-0.6345;-1.2133;-0.06;2.397;2.0355;2.82;0.911","-1.672;-2.4606;-0.88;0.9294;0.7755;1.11;0.891","-","-1.5051;-1.9336;-1.08;0.903;0.8191;1;0.969","1.3569;0.4486;2.27;-0.9602;-1.6201;-0.57;0.088"
"13","CG.3041-2","3.5812;2.3542;4.81;-1.0485;-2.0953;-0.52;0.013","0.355;-0.2773;0.99;1.1706;0.8323;1.65;0.787","-0.5927;-1.3179;0.13;1.8415;1.4328;2.37;0.887","0.8689;0.0245;1.71;0.6343;0.4866;0.83;0.873","0.5649;0.3143;0.82;0.7098;0.662;0.76;0.991","0.1382;-0.1643;0.44;0.8004;0.7433;0.86;0.99","-0.7606;-1.6051;0.08;0.4656;0.3255;0.67;0.765","-0.4566;-0.8819;-0.03;0.3963;0.3211;0.49;0.921","-0.2829;-0.6048;0.04;0.3594;0.3018;0.43;0.946","-0.446;-2.1373;1.25;0.4882;0.2547;0.94;0.145","-0.1795;-0.6532;0.29;0.4639;0.3797;0.57;0.928","-1.1136;-1.8084;-0.42;0.6619;0.5396;0.81;0.926","-1.3983;-3.0966;0.3;0.734;0.4241;1.27;0.416","-0.7721;-1.3769;-0.17;0.5584;0.4315;0.72;0.881","-0.3449;-0.7103;0.02;0.4491;0.3708;0.54;0.935","-1.1147;-2.8128;0.58;0.7696;0.4551;1.3;0.469","-0.5488;-0.9208;-0.18;0.6537;0.5702;0.75;0.967","-1.2278;-1.698;-0.76;0.827;0.7231;0.95;0.968","0.6244;-0.3375;1.59;0.4895;0.2539;0.94;0.127","0.9418;0.6665;1.22;0.4234;0.3396;0.53;0.913","0.3305;-0.0292;0.69;0.666;0.5543;0.8;0.94","-0.5574;-1.7703;0.66;2.1419;1.4991;3.06;0.766","-0.8023;-1.4516;-0.15;2.5302;2.1464;2.98;0.952","-2.1866;-2.7381;-1.64;0.9972;0.8922;1.11;0.978","-1.5355;-2.4797;-0.59;0.8489;0.6827;1.06;0.915","-2.1682;-2.5406;-1.8;0.9939;0.9235;1.07;0.991","1.259;0.0562;2.46;-0.8672;-1.7494;-0.43;0.129"
"14","CG.3041-3","0.4685;-0.4385;1.38;0.9641;0.5349;1.74;0.017","0.2132;-0.3881;0.81;1.2524;0.9135;1.72;0.74","-0.6353;-1.4261;0.16;1.8952;1.439;2.5;0.803","0.8627;0.3338;1.39;0.6336;0.5324;0.75;0.923","0.5757;0.3424;0.81;0.7064;0.6601;0.76;0.988","0.2013;-0.1087;0.51;0.7918;0.7311;0.86;0.984","-0.5585;-1.0875;-0.03;0.4292;0.3325;0.55;0.832","-0.3453;-0.6541;-0.04;0.378;0.3198;0.45;0.929","-0.2217;-0.4692;0.03;0.3497;0.3028;0.4;0.947","-0.07;-1.1296;0.99;0.4138;0.2478;0.69;0.275","-0.2192;-0.7098;0.27;0.4734;0.3831;0.58;0.885","-1.0554;-1.773;-0.34;0.6627;0.5323;0.82;0.877","-1.1429;-2.2151;-0.07;0.6775;0.4556;1.01;0.581","-0.6533;-1.1218;-0.18;0.5351;0.4308;0.66;0.879","-0.3106;-0.6404;0.02;0.4416;0.3682;0.53;0.915","-0.6334;-1.7057;0.44;0.6531;0.4331;0.98;0.549","-0.605;-1.01;-0.2;0.6701;0.5766;0.78;0.942","-1.2239;-1.7199;-0.73;0.8369;0.7242;0.97;0.947","0.8047;0.2107;1.4;0.4263;0.2561;0.71;0.285","0.8554;0.6061;1.1;0.4526;0.3708;0.55;0.898","0.3366;-0.0526;0.73;0.6848;0.5576;0.84;0.892","-0.7888;-1.7165;0.14;2.2617;1.7252;2.97;0.81","-0.9922;-1.5722;-0.41;2.6395;2.28;3.06;0.945","-2.0519;-2.383;-1.72;0.9708;0.9039;1.04;0.987","-1.5697;-2.2224;-0.92;0.8549;0.7311;1;0.938","-2.0325;-2.2662;-1.8;0.9676;0.9211;1.02;0.994","1.5165;0.2855;2.75;-1.0419;-1.934;-0.56;0.015"
"15","CG.3041-4","4.5375;3.3884;5.69;-1.6045;-2.4603;-1.05;0.659","1.0635;0.3684;1.76;0.7255;0.4147;1.27;0.39","-0.4516;-1.5138;0.61;1.763;1.2266;2.53;0.758","-0.212;-2.8392;2.42;0.8427;0.4715;1.51;0.337","0.8891;0.3134;1.46;0.6471;0.5455;0.77;0.948","-0.1503;-0.6658;0.37;0.8557;0.7642;0.96;0.977","-2.7263;-5.3535;-0.1;0.8555;0.4824;1.52;0.357","-1.8587;-3.1038;-0.61;0.6709;0.4723;0.95;0.774","-0.7895;-1.2655;-0.31;0.4533;0.3725;0.55;0.931","8.9118;3.6532;14.17;-1.3727;-2.7541;-0.68;0","-0.285;-1.4666;0.9;0.4867;0.3095;0.77;0.614","-1.8435;-2.9114;-0.78;0.7992;0.6232;1.02;0.889","5.7337;2.7695;8.7;-1.0152;-1.9783;-0.52;0.094","-2.7804;-4.7117;-0.85;1.0367;0.6769;1.59;0.661","-0.7099;-1.332;-0.09;0.5298;0.4069;0.69;0.875","-4.6621;-7.6249;-1.7;1.6289;1.0558;2.51;0.648","-0.9537;-2.0058;0.1;0.7522;0.5439;1.04;0.809","-1.7032;-2.2887;-1.12;0.934;0.8103;1.08;0.964","-1.85;-4.7071;1.01;1.3342;0.6689;2.66;0.02","1.1981;0.7715;1.62;0.3355;0.2255;0.5;0.707","-0.1247;-0.5962;0.35;0.8152;0.6778;0.98;0.939","0.9121;-0.4132;2.24;1.2026;0.6384;2.27;0.195","-0.0533;-0.6339;0.53;2.0612;1.7345;2.45;0.947","-2.3665;-3.6192;-1.11;1.0289;0.8113;1.3;0.899","-1.3231;-3.2576;0.61;0.8068;0.5157;1.26;0.623","-2.1084;-2.6396;-1.58;0.9804;0.8855;1.09;0.982","2.7446;0.3953;5.09;-1.6244;-3.3043;-0.8;0.105"
"16","CG.6210","3.8303;3.4068;4.25;-1.4315;-1.7385;-1.18;0.019","-0.0116;-0.2934;0.27;1.3808;1.2058;1.58;0.526","-0.7188;-1.0428;-0.39;1.9301;1.7262;2.16;0.679","0.4453;0.2003;0.69;0.7104;0.6592;0.77;0.856","0.4804;0.3734;0.59;0.726;0.7039;0.75;0.976","0.1769;0.074;0.28;0.7972;0.7762;0.82;0.982","-0.5128;-0.7579;-0.27;0.4362;0.3862;0.49;0.618","-0.3153;-0.4545;-0.18;0.3785;0.3505;0.41;0.848","-0.1977;-0.316;-0.08;0.3501;0.3265;0.38;0.875","-1.1385;-1.6295;-0.65;0.6245;0.527;0.74;0.253","-0.447;-0.6545;-0.24;0.5227;0.4811;0.57;0.823","-1.1004;-1.3178;-0.88;0.6758;0.6324;0.72;0.887","-0.7862;-1.1784;-0.39;0.614;0.5175;0.73;0.242","-0.5658;-0.7715;-0.36;0.5214;0.4719;0.58;0.744","-0.2754;-0.429;-0.12;0.4392;0.4028;0.48;0.807","-1.5299;-1.9216;-1.14;0.879;0.7798;0.99;0.63","-0.7929;-0.949;-0.64;0.7199;0.6815;0.76;0.923","-1.2504;-1.3923;-1.11;0.8477;0.8133;0.88;0.956","0.2014;-0.062;0.46;0.6361;0.5379;0.75;0.271","0.7241;0.6101;0.84;0.5034;0.4627;0.55;0.817","0.3095;0.1872;0.43;0.7036;0.6595;0.75;0.892","-0.9523;-1.403;-0.5;2.2506;1.9704;2.57;0.544","-1.0275;-1.345;-0.71;2.5863;2.3833;2.81;0.828","-2.1064;-2.3286;-1.88;0.9818;0.9346;1.03;0.938","-1.662;-2.0234;-1.3;0.8519;0.7797;0.93;0.798","-2.0038;-2.1848;-1.82;0.9604;0.9237;1;0.961","1.3315;1.0385;1.62;-0.9277;-1.1097;-0.78;0.201"
"17","CG.6210-1","3.8292;2.6304;5.03;-1.2483;-2.2343;-0.7;0.042","0.4714;-0.4027;1.35;1.0839;0.6586;1.78;0.319","-0.3414;-1.4966;0.81;1.6835;1.0961;2.59;0.505","0.6723;-0.1586;1.5;0.6718;0.5233;0.86;0.839","0.6802;0.2545;1.11;0.6856;0.6063;0.78;0.962","0.2848;-0.1884;0.76;0.7712;0.6836;0.87;0.963","-0.7599;-1.5911;0.07;0.4697;0.3298;0.67;0.671","-0.5617;-1.0395;-0.08;0.4173;0.3332;0.52;0.87","-0.4246;-0.8501;0;0.3878;0.313;0.48;0.882","-0.9381;-2.6036;0.73;0.5864;0.3383;1.02;0.155","-0.1374;-0.9831;0.71;0.4524;0.3148;0.65;0.653","-1.0561;-2.0835;-0.03;0.6529;0.4812;0.89;0.757","-1.23;-2.7199;0.26;0.6992;0.4181;1.17;0.27","-0.9757;-1.8111;-0.14;0.6088;0.4394;0.84;0.722","-0.5678;-1.2144;0.08;0.5029;0.372;0.68;0.763","-1.525;-3.014;-0.04;0.8729;0.5746;1.33;0.532","-0.5863;-1.308;0.14;0.6599;0.508;0.86;0.823","-1.2973;-2.0108;-0.58;0.8466;0.6935;1.03;0.898","-0.0922;-1.2962;1.11;0.7176;0.4102;1.26;0.123","0.6752;0.0911;1.26;0.4924;0.335;0.72;0.606","-0.0248;-0.6918;0.64;0.7648;0.5742;1.02;0.787","0.143;-0.8363;1.12;1.7395;1.2189;2.48;0.666","-0.0755;-0.6882;0.54;2.0924;1.7338;2.53;0.91","-1.1788;-1.7633;-0.59;0.8171;0.7065;0.95;0.946","-0.834;-1.8975;0.23;0.726;0.5452;0.97;0.787","-1.3485;-1.9027;-0.79;0.8537;0.7515;0.97;0.959","2.1093;0.5165;3.7;-1.3359;-2.4553;-0.73;0.05"
"18","CG.6210-2","3.3659;2.8075;3.92;-1.274;-1.7164;-0.95;0.009","-0.2845;-0.7381;0.17;1.5399;1.2561;1.89;0.544","-0.9864;-1.5139;-0.46;2.1086;1.7729;2.51;0.671","0.5566;0.2333;0.88;0.6807;0.61;0.76;0.869","0.3838;0.2234;0.54;0.7458;0.7112;0.78;0.976","0.1414;-0.009;0.29;0.8064;0.7743;0.84;0.982","-0.4746;-0.7979;-0.15;0.4405;0.372;0.52;0.688","-0.2169;-0.3968;-0.04;0.3644;0.3268;0.41;0.871","-0.0696;-0.2288;0.09;0.3273;0.2944;0.36;0.878","-0.8426;-1.4905;-0.19;0.5612;0.4312;0.73;0.23","-0.6185;-0.9295;-0.31;0.5611;0.4966;0.63;0.837","-1.1331;-1.4335;-0.83;0.6901;0.6278;0.76;0.903","-0.8348;-1.3995;-0.27;0.6471;0.5056;0.83;0.326","-0.4044;-0.6749;-0.13;0.4886;0.4219;0.57;0.765","-0.127;-0.3374;0.08;0.4059;0.3548;0.46;0.803","-1.3014;-1.8658;-0.74;0.8244;0.6787;1;0.585","-0.9072;-1.1277;-0.69;0.7524;0.6959;0.81;0.934","-1.2541;-1.4389;-1.07;0.8558;0.8091;0.91;0.966","0.3279;-0.0093;0.67;0.5969;0.4602;0.77;0.251","0.6346;0.4742;0.79;0.5445;0.482;0.62;0.838","0.2721;0.1207;0.42;0.7456;0.6853;0.81;0.923","-0.9481;-1.554;-0.34;2.1344;1.7538;2.6;0.577","-1.2316;-1.7358;-0.73;2.6479;2.3196;3.02;0.809","-1.961;-2.3458;-1.58;0.9403;0.8554;1.03;0.903","-1.411;-1.8996;-0.92;0.7778;0.6772;0.89;0.791","-1.8846;-2.1747;-1.59;0.9255;0.8645;0.99;0.949","1.1956;0.8132;1.58;-0.8737;-1.1361;-0.67;0.254"
"19","CG.6210-3","4.0117;3.1064;4.92;-1.4971;-2.2037;-1.02;0.115","0.4306;-0.0698;0.93;1.1034;0.8223;1.48;0.499","-0.4235;-1.0549;0.21;1.7422;1.3753;2.21;0.679","0.3756;-0.285;1.04;0.7271;0.5997;0.88;0.788","0.6808;0.4481;0.91;0.6857;0.6392;0.74;0.972","0.2081;-0.0158;0.43;0.7915;0.7471;0.84;0.981","-0.773;-1.4339;-0.11;0.4874;0.3664;0.65;0.529","-0.5713;-0.9511;-0.19;0.4306;0.3592;0.52;0.813","-0.4182;-0.7114;-0.13;0.3947;0.3393;0.46;0.87","-1.6319;-2.9556;-0.31;0.7296;0.5003;1.06;0.159","-0.1998;-0.65;0.25;0.4751;0.3911;0.58;0.784","-1.1521;-1.6441;-0.66;0.6876;0.5944;0.8;0.88","-1.0248;-2.0348;-0.01;0.6703;0.4548;0.99;0.109","-0.9989;-1.5665;-0.43;0.628;0.5018;0.79;0.712","-0.522;-0.9012;-0.14;0.4986;0.4143;0.6;0.804","-2.0088;-3.0172;-1;1.0035;0.7717;1.3;0.602","-0.6716;-1.0455;-0.3;0.693;0.6057;0.79;0.897","-1.3329;-1.6603;-1.01;0.8687;0.7921;0.95;0.952","-0.0828;-0.8079;0.64;0.7499;0.5163;1.09;0.178","0.8818;0.6524;1.11;0.4497;0.3737;0.54;0.804","0.289;0.0397;0.54;0.7101;0.6248;0.81;0.907","-0.5226;-1.4384;0.39;1.9963;1.4827;2.69;0.487","-0.4786;-1.0261;0.07;2.2529;1.9208;2.64;0.856","-2.0657;-2.3666;-1.76;0.973;0.9109;1.04;0.975","-1.663;-2.4155;-0.91;0.8596;0.7181;1.03;0.816","-2.0295;-2.276;-1.78;0.9683;0.9192;1.02;0.985","1.7881;0.9172;2.66;-1.1727;-1.7472;-0.79;0.1"
"20","CG.6210-3+","4.0117;3.1064;4.92;-1.4971;-2.2037;-1.02;0.115","0.8662;0.4801;1.25;0.8952;0.6765;1.18;0.546","0.543;-0.0421;1.13;1.5233;1.186;1.96;0.64","0.3756;-0.285;1.04;0.7271;0.5997;0.88;0.788","-","0.6867;0.3915;0.98;0.7076;0.6499;0.77;0.959","-0.773;-1.4339;-0.11;0.4874;0.3664;0.65;0.529","-","-0.4488;-0.751;-0.15;0.4002;0.3432;0.47;0.866","-1.6319;-2.9556;-0.31;0.7296;0.5003;1.06;0.159","0.4644;0.0685;0.86;0.3582;0.2865;0.45;0.714","-0.1407;-0.6815;0.4;0.6096;0.5092;0.73;0.816","-1.0248;-2.0348;-0.01;0.6703;0.4548;0.99;0.109","-","-0.8372;-1.3437;-0.33;0.5655;0.4565;0.7;0.738","-2.0088;-3.0172;-1;1.0035;0.7717;1.3;0.602","0.1167;-0.3618;0.6;0.5063;0.404;0.63;0.708","-0.7322;-1.182;-0.28;0.8615;0.7599;0.98;0.911","-0.4722;-1.3024;0.36;0.8417;0.5891;1.2;0.251","1.0563;0.7779;1.33;0.3974;0.314;0.5;0.682","0.8666;0.5299;1.2;0.6761;0.5715;0.8;0.839","-0.0029;-0.9012;0.9;1.7786;1.2835;2.46;0.379","-0.4786;-1.0261;0.07;2.2529;1.9208;2.64;0.856","-1.3777;-1.8207;-0.93;0.8668;0.7774;0.97;0.933","-","-1.4897;-1.791;-1.19;0.9015;0.8421;0.97;0.974","1.7881;0.9172;2.66;-1.1727;-1.7472;-0.79;0.1"
"21","CG.6210-4","4.1024;3.1814;5.02;-1.4163;-2.1034;-0.95;0.456","0.4772;-0.1802;1.13;1.1132;0.776;1.6;0.551","-0.4867;-1.2822;0.31;1.7959;1.3663;2.36;0.747","0.456;-0.8452;1.76;0.7081;0.4919;1.02;0.542","0.6052;0.264;0.95;0.7044;0.6413;0.77;0.971","0.029;-0.2729;0.33;0.825;0.7689;0.89;0.984","-1.7504;-3.0517;-0.45;0.6773;0.4631;0.99;0.5","-0.8076;-1.2091;-0.41;0.4658;0.3944;0.55;0.908","-0.5939;-0.9359;-0.25;0.4211;0.3604;0.49;0.919","-2.86;-5.4671;-0.25;0.9592;0.5673;1.62;0.002","-0.4219;-1.0835;0.24;0.5186;0.4059;0.66;0.798","-1.5533;-2.1792;-0.93;0.7562;0.6453;0.89;0.916","-2.1866;-4.2665;-0.11;0.9565;0.5656;1.62;0.002","-1.2078;-1.8938;-0.52;0.6613;0.5189;0.84;0.802","-0.6087;-1.0709;-0.15;0.5104;0.4145;0.63;0.855","-3.4779;-5.5549;-1.4;1.3548;0.9273;1.98;0.502","-0.8674;-1.3687;-0.37;0.7362;0.6273;0.86;0.915","-1.5799;-1.9427;-1.22;0.9167;0.8365;1;0.972","4.3625;2.963;5.76;-0.923;-1.5616;-0.55;0","0.8787;0.5254;1.23;0.461;0.3582;0.59;0.785","0.161;-0.1865;0.51;0.7438;0.637;0.87;0.92","0.2818;-0.6439;1.21;1.5344;1.0617;2.22;0.532","-0.4555;-0.9963;0.09;2.2748;1.9616;2.64;0.927","-2.404;-2.8556;-1.95;1.0392;0.9517;1.13;0.974","-0.9574;-2.1171;0.2;0.7148;0.5244;0.97;0.673","-2.3049;-2.5728;-2.04;1.0167;0.9665;1.07;0.992","2.1248;0.7589;3.49;-1.3082;-2.2342;-0.77;0.041"
"22","M.26","3.594;2.8913;4.3;-1.1226;-1.6295;-0.77;0.143","-0.0076;-0.5913;0.58;1.2777;0.9699;1.68;0.541","-1.1374;-1.8739;-0.4;2.0547;1.6531;2.55;0.717","0.8043;0.212;1.4;0.6294;0.5206;0.76;0.785","0.4586;0.2286;0.69;0.7189;0.6754;0.77;0.977","-0.0411;-0.2771;0.19;0.8256;0.7812;0.87;0.982","-0.9837;-1.5761;-0.39;0.5298;0.4231;0.66;0.697","-0.3786;-0.6363;-0.12;0.3923;0.3452;0.45;0.903","-0.2273;-0.4507;0;0.3599;0.3192;0.41;0.915","-1.1394;-2.3271;0.05;0.5948;0.4012;0.88;0.038","-0.4913;-0.9518;-0.03;0.5013;0.4194;0.6;0.81","-1.6046;-2.113;-1.1;0.7395;0.6476;0.84;0.896","-1.6608;-2.8459;-0.48;0.8418;0.5915;1.2;0.235","-0.6288;-1.0414;-0.22;0.5457;0.4551;0.65;0.803","-0.2094;-0.5063;0.09;0.4359;0.3713;0.51;0.847","-1.8995;-3.0842;-0.71;0.945;0.6891;1.3;0.393","-0.811;-1.161;-0.46;0.6973;0.6178;0.79;0.913","-1.5677;-1.8714;-1.26;0.8957;0.8267;0.97;0.962","0.1424;-0.5393;0.82;0.6041;0.4063;0.9;0.023","0.7058;0.4346;0.98;0.4629;0.3812;0.56;0.775","0.0097;-0.3151;0.33;0.7443;0.6438;0.86;0.875","-0.2938;-0.9501;0.36;1.8584;1.4998;2.3;0.725","-1.5838;-2.1332;-1.03;2.8377;2.5214;3.19;0.917","-2.1219;-2.3615;-1.88;0.9846;0.9372;1.03;0.986","-0.9973;-1.5792;-0.42;0.7291;0.6243;0.85;0.857","-2.1687;-2.3089;-2.03;0.9935;0.9667;1.02;0.996","2.5585;1.4048;3.71;-1.5007;-2.2135;-1.02;0.105"
"23","M.26+","3.594;2.8913;4.3;-1.1226;-1.6295;-0.77;0.143","0.3556;-0.2257;0.94;1.1295;0.8289;1.54;0.418","-0.1405;-0.7823;0.5;1.9636;1.6099;2.4;0.764","0.8043;0.212;1.4;0.6294;0.5206;0.76;0.785","-","0.5871;0.3016;0.87;0.722;0.669;0.78;0.966","-0.9837;-1.5761;-0.39;0.5298;0.4231;0.66;0.697","-","-0.2538;-0.4809;-0.03;0.3644;0.3231;0.41;0.915","-1.1394;-2.3271;0.05;0.5948;0.4012;0.88;0.038","0.069;-0.5394;0.68;0.4115;0.3105;0.55;0.52","-0.6389;-1.2195;-0.06;0.7155;0.612;0.84;0.855","-1.6608;-2.8459;-0.48;0.8418;0.5915;1.2;0.235","-","-0.5501;-0.9216;-0.18;0.5047;0.4259;0.6;0.829","-1.8995;-3.0842;-0.71;0.945;0.6891;1.3;0.393","-0.2657;-0.9559;0.42;0.57;0.4323;0.75;0.537","-1.2206;-1.6854;-0.76;0.991;0.8892;1.1;0.931","0.1778;-0.4904;0.85;0.5747;0.3864;0.85;0.022","0.986;0.6091;1.36;0.398;0.2944;0.54;0.448","0.9555;0.5355;1.38;0.692;0.569;0.84;0.772","-0.3704;-1.1085;0.37;1.9535;1.5536;2.46;0.685","-1.5838;-2.1332;-1.03;2.8377;2.5214;3.19;0.917","-2.2921;-2.8458;-1.74;1.035;0.9288;1.15;0.931","-","-2.304;-2.6725;-1.94;1.034;0.9652;1.11;0.972","2.5585;1.4048;3.71;-1.5007;-2.2135;-1.02;0.105"
"24","JM.8","3.5732;3.1885;3.96;-0.985;-1.2291;-0.79;0.15","0.1794;-0.1663;0.53;1.114;0.9334;1.33;0.461","-0.8621;-1.3088;-0.42;1.7822;1.5445;2.06;0.648","1.0045;0.6703;1.34;0.5921;0.5318;0.66;0.802","0.6011;0.4397;0.76;0.6846;0.6551;0.72;0.967","0.0441;-0.1207;0.21;0.7968;0.767;0.83;0.975","-1.0853;-1.4196;-0.75;0.5387;0.4786;0.61;0.761","-0.6127;-0.8078;-0.42;0.4392;0.4043;0.48;0.882","-0.3876;-0.5425;-0.23;0.393;0.3654;0.42;0.909","-0.8986;-1.5688;-0.23;0.5306;0.4182;0.67;0.013","-0.5032;-0.8296;-0.18;0.4893;0.4321;0.55;0.735","-1.5528;-1.9059;-1.2;0.7004;0.6382;0.77;0.852","-1.9991;-2.7462;-1.25;0.9097;0.7458;1.11;0.317","-0.9984;-1.3236;-0.67;0.6416;0.5698;0.72;0.759","-0.4093;-0.6284;-0.19;0.4932;0.4455;0.55;0.823","-1.7987;-2.5458;-1.05;0.8961;0.7325;1.1;0.296","-0.9328;-1.197;-0.67;0.7147;0.6554;0.78;0.872","-1.5915;-1.811;-1.37;0.8789;0.83;0.93;0.944","0.2171;-0.1883;0.62;0.5448;0.4292;0.69;0.01","0.6829;0.4951;0.87;0.4436;0.3898;0.5;0.712","-0.0565;-0.2803;0.17;0.7098;0.6444;0.78;0.84","-0.0855;-0.4623;0.29;1.8081;1.6049;2.04;0.756","-0.4066;-0.6187;-0.19;2.2617;2.1433;2.39;0.951","-2.0478;-2.2186;-1.88;0.9739;0.9419;1.01;0.981","-1.1933;-1.5106;-0.88;0.7942;0.7371;0.86;0.905","-2.1081;-2.2254;-1.99;0.9867;0.9653;1.01;0.992","1.9339;1.3818;2.49;-1.1143;-1.4193;-0.87;0.027"
"25","JM.8-1","3.6958;3.0012;4.39;-1.0615;-1.5429;-0.73;0.25","0.4957;-0.0921;1.08;0.9607;0.6763;1.36;0.344","-0.6798;-1.4602;0.1;1.7428;1.3443;2.26;0.647","1.0084;0.3056;1.71;0.5954;0.4753;0.75;0.736","0.738;0.4215;1.05;0.6622;0.605;0.72;0.958","0.0321;-0.2644;0.33;0.806;0.7526;0.86;0.976","-1.2993;-2.002;-0.6;0.5771;0.4574;0.73;0.719","-0.8307;-1.2639;-0.4;0.4785;0.4035;0.57;0.85","-0.5385;-0.8534;-0.22;0.4176;0.363;0.48;0.899","-1.2645;-2.6737;0.14;0.6126;0.3991;0.94;0.001","-0.3024;-0.9239;0.32;0.4597;0.3569;0.59;0.665","-1.6183;-2.2519;-0.98;0.7278;0.6191;0.86;0.865","-2.2766;-3.8415;-0.71;0.9692;0.66;1.42;0.207","-1.3641;-2.1112;-0.62;0.7226;0.5675;0.92;0.695","-0.5551;-0.9899;-0.12;0.5181;0.4278;0.63;0.81","-2.3019;-3.8666;-0.74;1.0288;0.7156;1.48;0.296","-0.8147;-1.3472;-0.28;0.6942;0.5798;0.83;0.832","-1.6473;-2.0305;-1.26;0.903;0.8192;1;0.951","0.096;-0.7193;0.91;0.6039;0.3933;0.93;0","0.8676;0.5243;1.21;0.3962;0.3034;0.52;0.627","-0.0051;-0.4045;0.39;0.7188;0.605;0.85;0.846","0.0309;-0.6549;0.72;1.7578;1.401;2.21;0.732","-0.3514;-0.6943;-0.01;2.2421;2.0499;2.45;0.959","-2.2529;-2.503;-2;1.0145;0.9675;1.06;0.988","-1.4294;-1.9548;-0.9;0.8411;0.7475;0.95;0.929","-2.2442;-2.4059;-2.08;1.0125;0.9828;1.04;0.995","2.3989;1.155;3.64;-1.3685;-2.1229;-0.88;0.002"
