row,num,hole,max_depth,total_m,large,medim,small,notes
5,3,A,18,1.08,0.84,0,,
5,3,A,24,0,0,0,,
5,3,A,36,0.08,0,0,,
5,3,B,6,0.4,0,0,,
5,3,B,12,0.28,0,0,,
5,3,B,18,0.17,0,0,,
5,3,B,24,0.71,0,0.55,,
5,3,B,36,0.36,0,0.28,,
5,3,C,6,0.23,0,0,,
5,3,C,12,0.22,0,0,,
5,3,C,18,0.39,0,0.27,,
5,3,C,24,0,0,0,,
5,3,C,36,0,0,0,,
5,3,D,6,0.59,0,0.12,,
5,3,D,12,7.74,7.53,0,,
5,3,D,18,0.95,0,0.42,,
5,3,D,24,0.11,0,0,,
5,3,D,36,0.01,0,0,,
5,3,E,6,0.64,0,0,,
5,3,E,12,0.14,0,0,,
5,3,E,18,0.57,0,0.22,,
5,3,E,24,0.27,0,0,,
5,3,E,36,0,0,0,,
5,3,F,6,0.29,0,0.19,,
5,3,F,12,0.2,0,0.17,,
5,3,F,18,0.1,0,0,,
5,3,F,24,,,,,
5,3,F,36,0,0,0,,
5,3,G,6,0.73,0,0,,
5,3,G,12,0.62,0,0.19,,
5,3,G,18,1.93,1.56,0,,
5,3,G,24,0.01,0,0,,
5,3,G,36,0.13,0,0,,
5,3,H,6,0.33,0,0,,
5,3,H,12,0.07,0,0,,
5,3,H,18,0.11,0,0,,
5,3,H,24,,,,,
5,3,H,36,,,,,
5,3,I,6,0.02,0,0,,
5,3,I,12,0.13,0,0,,
5,3,I,18,0.78,0,0.63,,
5,3,I,24,,,,,
5,3,I,36,,,,,
5,6,A,6,2.42,1.1,0.45,,
5,6,A,12,1.06,0.72,0.24,,
5,6,A,18,0.07,0,0,,
5,6,A,24,0,0,0,,
5,6,A,36,0,0,0,,
5,6,B,6,2.01,1.27,0.18,,
5,6,B,12,1.42,1.02,0.1,,
5,6,B,18,0.04,0,0,,
5,6,B,24,,,,,
5,6,B,36,,,,,
5,6,C,6,0.68,0,0.05,,
5,6,C,12,0.77,0,0.45,,
5,6,C,18,0.25,0,0.16,,
5,6,C,24,0.18,0,0.13,,
5,6,C,36,0.08,0,0,,
5,6,D,6,1,0,0.53,,
5,6,D,12,2.59,2.12,0,,
5,6,D,18,0.23,0,0,,
5,6,D,24,0.07,0,0,,
5,6,D,36,0.06,0,0,,
5,6,E,6,0.89,0,0,,
5,6,E,12,0.18,0,0,,
5,6,E,18,0.06,0,0,,
5,6,E,24,1.04,0,0.47,,
5,6,E,36,0.08,0,0,,
5,6,F,6,0,0,0,,
5,6,F,12,,,,,
5,6,F,18,,,,,
5,6,F,24,,,,,
5,6,F,36,,,,,
5,6,G,6,5.2,4.45,0.39,,
5,6,G,12,0.64,0.05,0.49,,
5,6,G,18,0.33,0,0,,
5,6,G,24,0.07,0,0,,
5,6,G,36,3.06,2.9,0.13,,
5,6,H,6,0.1,0,0,,
5,6,H,12,,,,,
5,6,H,18,1.62,1.56,0,,
5,6,H,24,3.52,3.44,0,,
5,6,H,36,0,0,0,,
5,6,I,6,0.09,0,0,,
5,6,I,12,0.03,0,0,,
5,6,I,18,,,,,
5,6,I,24,,,,,
5,6,I,36,,,,,
5,14,A,6,0.72,0,0.26,,
5,14,A,12,0.29,0,0.07,,
5,14,A,18,0.16,0,0,,
5,14,A,24,0.08,0,0,,
5,14,A,36,0.09,0,0,,
5,14,B,6,0.69,0,0,,
5,14,B,12,0.3,0,0,,
5,14,B,18,0.08,0,0,,
5,14,B,24,0.03,0,0,,
5,14,B,36,0.01,0,0,,
5,14,C,6,0.43,0,0,,
5,14,C,12,0.21,0,0,,
5,14,C,18,0.69,0,0.44,,
5,14,C,24,0.18,0,0,,
5,14,C,36,0.01,0,0,,
5,14,D,6,0.34,0,0,,
5,14,D,12,14.63,14.09,0.09,,
5,14,D,18,0.07,0,0,,
5,14,D,24,0,0,0,,
5,14,D,36,0.05,0,0,,
5,14,E,6,1.16,0.33,0,,
5,14,E,12,2.24,1.95,0,,
5,14,E,18,0.11,0,0,,
5,14,E,24,0.03,0,0,,
5,14,E,36,0.07,0,0,,
5,14,F,6,0.19,0,0,,
5,14,F,12,0.13,0,0,,
5,14,F,18,,,,,
5,14,F,24,0.01,0,0,,
5,14,F,36,,,,,
5,14,G,6,1.42,0,0.37,,
5,14,G,12,11.11,9.47,0.65,,
5,14,G,18,2.47,2.16,0.04,,
5,14,G,24,0.12,0,0,,
5,14,G,36,0.03,0,0,,
5,14,H,6,2.11,0,0.44,,
5,14,H,12,0.27,0,0,,
5,14,H,18,0.05,0,0,,
5,14,H,24,0.54,0,0.3,,
5,14,H,36,0.09,0,0,,
5,14,I,6,0.06,0,0,,
5,14,I,12,0.33,0,0.23,,
5,14,I,18,0,0,0,,
5,14,I,24,0.44,0,0.39,,
5,14,I,36,0,0,0,,
5,19,A,6,0.96,0,0.25,,
5,19,A,12,8.63,7.35,0.4,,
5,19,A,18,0.55,0,0,,
5,19,A,24,0.32,0,0.08,,
5,19,A,36,0.08,0,0,,
5,19,B,6,0.97,0,0.32,,
5,19,B,12,0.73,0,0.18,,
5,19,B,18,0.42,0,0.28,,
5,19,B,24,0.06,0,0,,
5,19,B,36,0.01,0,0,,
5,19,C,6,0.29,0,0,,
5,19,C,12,0.49,0,0,,
5,19,C,18,0.12,0,0,,
5,19,C,24,0.05,0,0,,
5,19,C,36,0,0,0,,
5,19,D,6,1.32,0,0.26,,
5,19,D,12,14.13,13.1,0,,
5,19,D,18,4.11,3.72,0,,
5,19,D,24,0.09,0,0,,
5,19,D,36,0.08,0,0,,
5,19,E,6,0.29,0,0,,
5,19,E,12,0.14,0,0,,
5,19,E,18,0.08,0,0,,
5,19,E,24,0.17,0,0,,
5,19,E,36,0.17,0,0,,
5,19,F,6,0.22,0,0.15,,
5,19,F,12,0.52,0,0.31,,
5,19,F,18,0.06,0,0,,
5,19,F,24,0.02,0,0,,
5,19,F,36,0.03,0,0,,
5,19,G,6,0.74,0,0.3,,
5,19,G,12,0.74,0,0.3,,
5,19,G,18,0.1,0,0,,
5,19,G,24,0.17,0,0,,
5,19,G,36,0.19,0,0,,
5,19,H,6,0.47,0,0.14,,
5,19,H,12,0.4,0,0,,
5,19,H,18,0.09,0,0,,
5,19,H,24,0,0,0,,
5,19,H,36,0.77,0,0.47,,
5,19,I,6,0.49,0,0.33,,
5,19,I,12,0.09,0,0,,
5,19,I,18,0,0,0,,
5,19,I,24,0,0,0,,
5,19,I,36,,,,,
6,2,A,6,0.64,0,0,,
6,2,A,12,3.7,3.59,0,,
6,2,A,18,0.09,0,0,,
6,2,A,24,0.06,0,0,,
6,2,A,36,,,,,
6,2,B,6,0.87,0,0.3,,
6,2,B,12,0.62,0,0.46,,
6,2,B,18,0.08,0,0,,
6,2,B,24,,,,,
6,2,B,36,,,,,
6,2,C,6,0.61,0,0.19,,
6,2,C,12,0.21,0,0.13,,
6,2,C,18,0.21,0,0.12,,
6,2,C,24,,,,,
6,2,C,36,,,,,
6,2,D,6,0.19,0,0,,
6,2,D,12,0.66,0,0.41,,
6,2,D,18,0.24,0,0.1,,
6,2,D,24,,,,,
6,2,D,36,,,,,
6,2,E,6,0.35,0,0,,
6,2,E,12,0.22,0,0,,
6,2,E,18,0,0,0,,
6,2,E,24,,,,,
6,2,E,36,,,,,
6,2,F,6,0.44,0,0.28,,
6,2,F,12,0.05,0,0,,
6,2,F,18,0.03,0,0,,
6,2,F,24,,,,,
6,2,F,36,,,,,
6,2,G,6,1.39,1.22,0,,
6,2,G,12,,,,,
6,2,G,18,0.04,0,0,,
6,2,G,24,0,0,0,,
6,2,G,36,0,0,0,,
6,2,H,6,0.48,0,0.1,,
6,2,H,12,0.13,0,0,,
6,2,H,18,0.06,0,0,,
6,2,H,24,0,0,0,,
6,2,H,36,0.12,0,0,,
6,2,I,6,0.15,0,0,,
6,2,I,12,,,,,
6,2,I,18,,,,,
6,2,I,24,,,,,
6,2,I,36,,,,,
6,7,A,6,0.08,0,0,,
6,7,A,12,0.29,0,0,,
6,7,A,18,1.37,0.94,0.11,,
6,7,A,24,0.09,0,0,,
6,7,A,36,0.04,0,0,,
6,7,B,6,0.22,0,0,,
6,7,B,12,0.14,0,0,,
6,7,B,18,0.97,0.43,0.39,,
6,7,B,24,0.04,0,0,,
6,7,B,36,0.11,0,0,,
6,7,C,6,0.23,0,0,,
6,7,C,12,0.45,0,0.25,,
6,7,C,18,0.03,0,0,,
6,7,C,24,0.07,0,0,,
6,7,C,36,0.05,0,0,,
6,7,D,6,0.09,0,0,,
6,7,D,12,0.55,0,0.43,,
6,7,D,18,0.03,0,0,,
6,7,D,24,0,0,0,,
6,7,D,36,,,,,
6,7,E,6,0.11,0,0,,
6,7,E,12,0,0,0,,
6,7,E,18,0.94,0.85,0,,
6,7,E,24,,,,,
6,7,E,36,0,0,0,,
6,7,F,6,0.15,0,0,,
6,7,F,12,1.19,0.72,0.4,,
6,7,F,18,0.1,0,0,,
6,7,F,24,,,,,
6,7,F,36,0,0,0,,
6,7,G,6,0.75,0,0.75,,
6,7,G,12,0.25,0,0.1,,
6,7,G,18,0.01,0,0,,
6,7,G,24,0.18,0,0.18,,
6,7,G,36,0.01,0,0,,
6,7,H,6,0.27,0,0.2,,
6,7,H,12,0.04,0,0,,
6,7,H,18,0.04,0,0,,
6,7,H,24,0.03,0,0,,
6,7,H,36,0,0,0,,
6,7,I,6,,,,,
6,7,I,12,0,0,0,,
6,7,I,18,0.01,0,0,,
6,7,I,24,0,0,0,,
6,7,I,36,,,,,
6,23,A,6,0.05,0,0,,
6,23,A,12,0.06,0,0,,
6,23,A,18,0.14,0,0,,
6,23,A,24,0.07,0,0,,
6,23,A,36,,,,,
6,23,B,6,0.17,0,0,,
6,23,B,12,0.08,0,0,,
6,23,B,18,0.05,0,0,,
6,23,B,24,0,0,0,,
6,23,B,36,,,,,
6,23,C,6,0.13,0,0,,
6,23,C,12,0.04,0,0,,
6,23,C,18,0,0,0,,
6,23,C,24,,,,,
6,23,C,36,0.02,0,0,,
6,23,D,6,0.81,0,0.45,,
6,23,D,12,0.63,0,0.4,,
6,23,D,18,0.57,0,0.36,,
6,23,D,24,0.15,0,0,,
6,23,D,36,,,,,
6,23,E,6,,,,,
6,23,E,12,0.08,0,0,,
6,23,E,18,0.24,0,0.18,,
6,23,E,24,0,0,0,,
6,23,E,36,,,,,
6,23,F,6,0.03,0,0,,
6,23,F,12,0.54,0,0.47,,
6,23,F,18,0.02,0,0,,
6,23,F,24,,,,,
6,23,F,36,,,,,
6,23,G,6,0.6,0,0,,
6,23,G,12,3.34,2.62,0.34,,
6,23,G,18,0.4,0,0.26,,
6,23,G,24,0.21,0,0,,
6,23,G,36,0.09,0,0,,
6,23,H,6,0,0,0,,
6,23,H,12,0.02,0,0,,
6,23,H,18,0.06,0,0,,
6,23,H,24,,,,,
6,23,H,36,,,,,
6,23,I,6,0,0,0,,
6,23,I,12,0.01,0,0,,
6,23,I,18,,,,,
6,23,I,24,,,,,
6,23,I,36,,,,,
7,16,A,6,0.24,0,0.1,,
7,16,A,12,0.72,0,0.42,,
7,16,A,18,0.08,0,0,,
7,16,A,24,2.9,2.65,0.16,,
7,16,A,36,2.5,2.45,0,,
7,16,B,6,0.26,0,0,,
7,16,B,12,0.2,0,0,,
7,16,B,18,,,,,
7,16,B,24,0.04,0,0,,
7,16,B,36,0.06,0,0,,
7,16,C,6,0.15,0,0,,
7,16,C,12,0.42,0,0,,
7,16,C,18,0.04,0,0,,
7,16,C,24,0.08,0,0,,
7,16,C,36,0.01,0,0,,
7,16,D,6,0.92,0,0.39,,
7,16,D,12,0.11,0,0,,
7,16,D,18,0.21,0,0,,
7,16,D,24,0.13,0,0,,
7,16,D,36,0.07,0,0,,
7,16,E,6,0.35,0,0,,
7,16,E,12,0.25,0,0.11,,
7,16,E,18,0.04,0,0,,
7,16,E,24,,,,,
7,16,E,36,0.23,0,0.16,,
7,16,F,6,0.51,0,0.32,,
7,16,F,12,0.16,0,0,,
7,16,F,18,0.02,0,0,,
7,16,F,24,0.05,0,0,,
7,16,F,36,0.02,0,0,,
7,16,G,6,0.43,0,0.19,,
7,16,G,12,0.52,0,0.39,,
7,16,G,18,0.04,0,0,,
7,16,G,24,0.91,0,0.87,,
7,16,G,36,6.85,5.96,0.49,,
7,16,H,6,0.52,0,0,,
7,16,H,12,0.11,0,0,,
7,16,H,18,0.08,0,0,,
7,16,H,24,0.02,0,0,,
7,16,H,36,0.07,0,0,,
7,16,I,6,0.11,0,0,,
7,16,I,12,,,,,
7,16,I,18,,,,,
7,16,I,24,,,,,
7,16,I,36,0.03,0,0,,
8,10,A,6,0.34,0,0.19,,
8,10,A,12,0.16,0,0.37,,
8,10,A,18,1.12,0.75,0,,
8,10,A,24,0.1,0,0,,
8,10,A,36,0.01,0,0,,
8,10,B,6,0.65,0,0.18,,
8,10,B,12,0.29,0,0,,
8,10,B,18,0.13,0,0.06,,
8,10,B,24,0.03,0,0,,
8,10,B,36,0.03,0,0,,
8,10,C,6,0.37,0,0,,
8,10,C,12,0.34,0,0,,
8,10,C,18,0.1,0,0,,
8,10,C,24,0.05,0,0,,
8,10,C,36,0.05,0,0,,
8,10,D,6,0.68,0,0.32,,
8,10,D,12,0.26,0,0,,
8,10,D,18,0.62,0,0.33,,
8,10,D,24,0.55,0,0.25,,
8,10,D,36,0.08,0,0,,
8,10,E,6,0.87,0,0.57,,
8,10,E,12,0.72,0,0.5,,
8,10,E,18,0.04,0,0,,
8,10,E,24,0,0,0,,
8,10,E,36,0.02,0,0,,
8,10,F,6,0.56,0,0.26,,
8,10,F,12,0.26,0,0.17,,
8,10,F,18,0.07,0,0,,
8,10,F,24,0,0,0,,
8,10,F,36,0.08,0,0,,
8,10,G,6,0.57,0,0,,
8,10,G,12,1.98,0.74,0.55,,
8,10,G,18,0.76,0,0.35,,
8,10,G,24,0.37,0,0.24,,
8,10,G,36,0.39,0,0.14,,
8,10,H,6,0.87,0,0.33,,
8,10,H,12,0.07,0,0,,
8,10,H,18,,,,,
8,10,H,24,0.29,0,0,,
8,10,H,36,0.12,0,0,,
8,10,I,6,0.08,0,0,,
8,10,I,12,0.19,0,0,,
8,10,I,18,0,0,0,,
8,10,I,24,,,,,
8,10,I,36,,,,,
8,12,A,6,0.97,0,0.36,,
8,12,A,12,8.46,8.34,0,,
8,12,A,18,0.19,0,0,,
8,12,A,24,0.05,0,0,,
8,12,A,36,0.03,0,0,,
8,12,B,6,0.19,0,0,,
8,12,B,12,0.23,0,0,,
8,12,B,18,0.19,0,0,,
8,12,B,24,,,,,
8,12,B,36,0.01,0,0,,
8,12,C,6,0.23,0,0,,
8,12,C,12,0.09,0,0,,
8,12,C,18,0.01,0,0,,
8,12,C,24,0,0,0,,
8,12,C,36,,,,,
8,12,D,6,0.19,0,0,,
8,12,D,12,0.53,0,0.36,,
8,12,D,18,0.25,0,0,,
8,12,D,24,0.18,0,0,,
8,12,D,36,0.01,0,0,,
8,12,E,6,0.19,0,0,,
8,12,E,12,0.08,0,0,,
8,12,E,18,0,0,0,,
8,12,E,24,0.06,0,0,,
8,12,E,36,,,,,
8,12,F,6,0.01,0,0,,
8,12,F,12,,,,,
8,12,F,18,0,0,0,,
8,12,F,24,,,,,
8,12,F,36,0.04,0,0,,
8,12,G,6,1.05,0,0.69,,
8,12,G,12,0.11,0,0,,
8,12,G,18,0.04,0,0,,
8,12,G,24,0.03,0,0,,
8,12,G,36,0.03,0,0,,
8,12,H,6,0.49,0,0.3,,
8,12,H,12,0.02,0,0,,
8,12,H,18,0,0,0,,
8,12,H,24,,,,,
8,12,H,36,0,0,0,,
8,12,I,6,,,,,
8,12,I,12,0.13,0,0,,
8,12,I,18,0,0,0,,
8,12,I,24,0.06,0,0,,
8,12,I,36,,,,,
8,19,A,6,0.95,0,0.54,,
8,19,A,12,5.17,2.78,1.79,,
8,19,A,18,0.56,0,0.44,,
8,19,A,24,0.04,0,0,,
8,19,A,36,0.05,0,0,,
8,19,B,6,0.57,0,0.9,,
8,19,B,12,4.25,3.15,0.75,,
8,19,B,18,0.1,0,0,,
8,19,B,24,0,0,0,,
8,19,B,36,,,,,
8,19,C,6,0.17,0,0,,
8,19,C,12,0.23,0,0.06,,
8,19,C,18,0.27,0,0.1,,
8,19,C,24,0,0,0,,
8,19,C,36,0.47,0.42,0,,
8,19,D,6,0.63,0,0,,
8,19,D,12,0.17,0,0,,
8,19,D,18,0.18,0,0,,
8,19,D,24,0.14,0,0,,
8,19,D,36,0.11,0,0,,
8,19,E,6,2.4,0,1.65,,
8,19,E,12,2.65,2.03,0.16,,
8,19,E,18,0.13,0,0,,
8,19,E,24,0.07,0,0,,
8,19,E,36,0.09,0,0,,
8,19,F,6,0.23,0,0,,
8,19,F,12,,,,,
8,19,F,18,0.03,0,0,,
8,19,F,24,0.08,0,0,,
8,19,F,36,0.1,0,0,,
8,19,G,6,2.35,1.56,0.43,,
8,19,G,12,0.58,0.23,0.14,,
8,19,G,18,0.16,0,0.11,,
8,19,G,24,0.06,0,0,,
8,19,G,36,0.12,0,0,,
8,19,H,6,0.98,0,0.38,,
8,19,H,12,0.1,0,0,,
8,19,H,18,0.03,0,0,,
8,19,H,24,0.1,0,0,,
8,19,H,36,0,0,0,,
8,19,I,6,0.93,0.78,0,,
8,19,I,12,0.01,0,0,,
8,19,I,18,0,0,0,,
8,19,I,24,0.36,0,0.35,,
8,19,I,36,0.97,0.95,0,,
9,8,A,6,0.14,0,0,,
9,8,A,12,0.53,0,0.08,,
9,8,A,18,0.07,0,0,,
9,8,A,24,,,,,
9,8,A,36,0.03,0,0,,
9,8,B,6,0.03,0,0,,
9,8,B,12,,,,,
9,8,B,18,0.03,0,0,,
9,8,B,24,0.03,0,0,,
9,8,B,36,0,0,0,,
9,8,C,6,,,,,
9,8,C,12,0.07,0,0,,
9,8,C,18,0.07,0,0,,
9,8,C,24,,,,,
9,8,C,36,,,,,
9,8,D,6,0.36,0.11,0,,
9,8,D,12,4.33,3.78,0.34,,
9,8,D,18,0.25,0.12,0,,
9,8,D,24,0,0,0,,
9,8,D,36,,,,,
9,8,E,6,,,,,
9,8,E,12,0.03,0,0,,
9,8,E,18,0.02,0,0,,
9,8,E,24,,,,,
9,8,E,36,0.03,0,0,,
9,8,F,6,,,,,
9,8,F,12,,,,,
9,8,F,18,,,,,
9,8,F,24,,,,,
9,8,F,36,,,,,
9,8,G,6,0.04,0,0,,
9,8,G,12,1.62,1.34,0,,
9,8,G,18,0.67,0.47,0.09,,
9,8,G,24,,,,,
9,8,G,36,,,,,
9,8,H,6,,,,,
9,8,H,12,0.01,0,0,,
9,8,H,18,0.01,0,0,,
9,8,H,24,,,,,
9,8,H,36,,,,,
9,8,I,6,0.04,0,0,,
9,8,I,12,0.01,0,0,,
9,8,I,18,0.02,0,0,,
9,8,I,24,,,,,
9,8,I,36,,,,,
9,17,A,6,0.34,0,0,,
9,17,A,12,1.3,0.67,0.26,,
9,17,A,18,0.08,0,0,,
9,17,A,24,0.4,0,0.35,,
9,17,A,36,0.91,0.59,0.29,,
9,17,B,6,0.26,0,0,,
9,17,B,12,0.43,0,0.2,,
9,17,B,18,0.16,0,0,,
9,17,B,24,0.03,0,0,,
9,17,B,36,0.01,0,0,,
9,17,C,6,0.25,0,0,,
9,17,C,12,0.42,0,0.19,,
9,17,C,18,0.05,0,0,,
9,17,C,24,0.04,0,0,,
9,17,C,36,,,,,
9,17,D,6,0.13,0,0,,
9,17,D,12,0.15,0,0,,
9,17,D,18,0.26,0,0.15,,
9,17,D,24,0.03,0,0,,
9,17,D,36,0.22,0,0.16,,
9,17,E,6,0.3,0,0,,
9,17,E,12,0.75,0,0.28,,
9,17,E,18,0.13,0,0,,
9,17,E,24,0.13,0,0.11,,
9,17,E,36,0,0,0,,
9,17,F,6,,,,,
9,17,F,12,0.25,0,0.23,,
9,17,F,18,0.53,0,0.5,,
9,17,F,24,,,,,
9,17,F,36,,,,,
9,17,G,6,0.5,0,0.2,,
9,17,G,12,0.16,0,0,,
9,17,G,18,1.78,1.54,0,,
9,17,G,24,0.04,0,0,,
9,17,G,36,0.02,0,0,,
9,17,H,6,0.04,0,0,,
9,17,H,12,,,,,
9,17,H,18,,,,,
9,17,H,24,0.06,0,0,,
9,17,H,36,,,,,
9,17,I,6,0.04,0,0,,
9,17,I,12,,,,,
9,17,I,18,,,,,
9,17,I,24,,,,,
9,17,I,36,,,,,
9,20,A,6,0.88,0.38,0.23,,
9,20,A,12,6.19,5.59,0.29,,
9,20,A,18,8.43,8.31,0,,
9,20,A,24,0.07,0,0,,
9,20,A,36,0,0,0,,
9,20,B,6,0.34,0,0.08,,
9,20,B,12,1.12,0.88,0.09,,
9,20,B,18,0.35,0,0.3,,
9,20,B,24,0.5,0,0.41,,
9,20,B,36,,,,,
9,20,C,6,0.14,0,0,,
9,20,C,12,0.32,0,0.21,,
9,20,C,18,0.08,0,0,,
9,20,C,24,,,,,
9,20,C,36,,,,,
9,20,D,6,5.63,5.23,0,,
9,20,D,12,13.57,13.05,0,,
9,20,D,18,0.3,0,0.25,,
9,20,D,24,0.16,0,0,,
9,20,D,36,0.08,0,0,,
9,20,E,6,0.49,0,0,,
9,20,E,12,1.81,1.12,0.61,,
9,20,E,18,1.49,1.18,0,,
9,20,E,24,0.13,0,0,,
9,20,E,36,1.34,0,0.97,,
9,20,F,6,0.06,0,0,,
9,20,F,12,,,,,
9,20,F,18,0.03,0,0,,
9,20,F,24,1.1,0,1.02,,
9,20,F,36,,,,,
9,20,G,6,0.88,0.66,0.05,,
9,20,G,12,1.85,1.58,0,,
9,20,G,18,1.71,1.55,0.13,,
9,20,G,24,0.32,0,0.26,,
9,20,G,36,0.07,0,0,,
9,20,H,6,0.1,0,0,,
