"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"31","CG.6210-4","   , X","   ,   ","   , X","X , X","   , X","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","X ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"32","M.26","   ,   ","   ,   ","   , X","X , X","   , X","   ,   ","   ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"33","M.26+","   ,   ","   ,   ","   , X","X , X","-","   , X","   ,   ","-","X ,   ","   , X","   , X","   ,   ","X ,   ","-","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","   ,   ","-","   ,   ","   ,   "
"34","JM.8","   ,   ","   ,   ","   , X","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X ,   ","   , X","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"35","JM.8-1","   ,   ","   ,   ","   , X","X ,   ","X ,   ","   ,   ","   ,   ","   ,   ","X ,   ","   , X","   , X","   ,   ","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"36","JM.8-2","X ,   ","   ,   ","   , X","X ,   ","   , X","   , X","   ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"37","JM.8-2+","X ,   ","   ,   ","   , X","X ,   ","-","X ,   ","   ,   ","-","X ,   ","   , X","   , X","   ,   ","X ,   ","-","X ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","X , X","-","   ,   ","   ,   "
"38","JM.8-3","X ,   ","   ,   ","   , X","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X ,   ","   , X","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","   ,   ","   ,   ","X , X","X ,   "
"39","PiAu.5683","   ,   ","   ,   ","   , X","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","   ,   ","   ,   ","   ,   ","   ,   "
"40","PiAu.5683-1","   ,   ","   ,   ","   , X","X , X","   , X","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"41","PiAu.5683-2","   ,   ","   ,   ","   , X","X , X","   , X","   , X","   ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","X ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"42","PiAu.5683-3","   ,   ","   ,   ","   , X","X , X","   ,   ","   ,   ","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","   ,   ","X , X","   ,   "
"43","PiAu.5683-3+","   ,   ","   ,   ","   , X","X , X","-","   , X","   ,   ","-","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","-","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","   ,   ","-","   ,   ","   ,   "
