"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Subtree)","D~V(Segment)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Subtree)"
"46","CG.3041-3 - X","0.12  ,         ,  0.017  ,  2.67","1.08  ,         ,  0.74  ,  -8.61","1.7  ,         ,  0.803  ,  -0.94","0.61  ,         ,  0.923  ,  -21.01","0.79  ,         ,  0.984  ,  -30.97","0.39  ,         ,  0.832  ,  -21.01","0.34  ,         ,  0.947  ,  -37.28","0.22  ,         ,  0.275  ,  -1.6","0.41  ,         ,  0.893  ,  -21.04","0.62  ,         ,  0.877  ,  -7.48","0.52  ,         ,  0.581  ,  -8.23","0.42  ,         ,  0.915  ,  -30.65","0.48  ,         ,  0.549  ,  -8.23","0.54  ,         ,  0.94  ,  -29.12","0.81  ,         ,  0.947  ,  -19.22","0.23  ,         ,  0.285  ,  -1.79","0.43  ,         ,  0.898  ,  -21.76","0.65  ,         ,  0.892  ,  -9.29","2.04  ,         ,  0.81  ,  3.53","2.68  ,         ,  0.938  ,  -6.43","0.96  ,         ,  0.987  ,  -34.12","0.96  ,         ,  0.994  ,  -38.89"
"47","       - X + X^2","5.01  ,  -1.6  ,  0.171  ,  2.29","2.3  ,  -0.4  ,  0.746  ,  -6.93","-0.97  ,  0.88  ,  0.815  ,  0.19","1.44  ,  -0.09  ,  0.93  ,  -20.43","0.31  ,  0.05  ,  0.986  ,  -31.08","-0.44  ,  0.09  ,  0.848  ,  -20.43","0.01  ,  0.03  ,  0.953  ,  -36.85","1.89  ,  -0.18  ,  0.345  ,  -1.02","0.66  ,  -0.02  ,  0.895  ,  -19.29","-0.64  ,  0.13  ,  0.899  ,  -8.3","-0.79  ,  0.17  ,  0.589  ,  -6.5","0.24  ,  0.02  ,  0.916  ,  -28.81","1.79  ,  -0.17  ,  0.557  ,  -6.5","1.21  ,  -0.08  ,  0.948  ,  -29.21","-0.38  ,  0.14  ,  0.958  ,  -20.63","1.3  ,  -0.21  ,  0.374  ,  -1.64","0.69  ,  -0.05  ,  0.904  ,  -20.63","0.08  ,  0.1  ,  0.904  ,  -9","4.82  ,  -0.92  ,  0.819  ,  4.85","3.3  ,  -0.2  ,  0.938  ,  -4.5","-0.1  ,  0.11  ,  0.992  ,  -39.34","0.43  ,  0.05  ,  0.996  ,  -42.02"
"48","CG.3041-4 - X","-1.3  ,         ,  0.659  ,  0.73","0.45  ,         ,  0.39  ,  -10.35","1.54  ,         ,  0.758  ,  -0.99","0.49  ,         ,  0.337  ,  -2.7","0.85  ,         ,  0.977  ,  -25.56","0.51  ,         ,  0.357  ,  -2.7","0.44  ,         ,  0.931  ,  -27.32","-0.02  ,         ,  0  ,  12.55","0.26  ,         ,  0.633  ,  -15.94","0.75  ,         ,  0.889  ,  -9.55","-0.31  ,         ,  0.094  ,  1.06","0.5  ,         ,  0.875  ,  -20.7","1.31  ,         ,  0.648  ,  1.06","0.33  ,         ,  0.727  ,  -19.21","0.92  ,         ,  0.964  ,  -22.03","0.19  ,         ,  0.02  ,  12.33","0.28  ,         ,  0.707  ,  -18.43","0.79  ,         ,  0.939  ,  -16.21","0.53  ,         ,  0.195  ,  3.82","2.03  ,         ,  0.884  ,  -4.56","0.98  ,         ,  0.899  ,  -18.99","0.97  ,         ,  0.982  ,  -24.91"
"49","       - X + X^2","1.09  ,  -0.72  ,  0.665  ,  2.52","-4.07  ,  1.36  ,  0.504  ,  -10.63","-10.42  ,  3.59  ,  0.893  ,  -7.97","-0.04  ,  0.05  ,  0.337  ,  -0.71","-0.86  ,  0.16  ,  0.983  ,  -27.02","1.04  ,  -0.05  ,  0.357  ,  -0.71","0.75  ,  -0.03  ,  0.932  ,  -25.44","-1.09  ,  0.1  ,  0.001  ,  14.54","-0.1  ,  0.03  ,  0.635  ,  -13.99","-2.97  ,  0.34  ,  0.922  ,  -11.44","-22.28  ,  2.74  ,  0.425  ,  -1.94","0.62  ,  -0.01  ,  0.875  ,  -18.7","23.28  ,  -2.74  ,  0.777  ,  -1.94","2.1  ,  -0.19  ,  0.754  ,  -18.35","-0.6  ,  0.17  ,  0.968  ,  -21.1","7.59  ,  -1.23  ,  0.11  ,  13.26","0.71  ,  -0.07  ,  0.714  ,  -16.66","-0.54  ,  0.2  ,  0.949  ,  -16.19","0.85  ,  -0.1  ,  0.195  ,  5.82","-4.81  ,  2.06  ,  0.913  ,  -5.76","-3.75  ,  0.46  ,  0.921  ,  -19.74","-0.29  ,  0.12  ,  0.984  ,  -24.55"
"50","CG.6210 - X","-0.2  ,         ,  0.019  ,  77.86","1  ,         ,  0.526  ,  -4.46","1.59  ,         ,  0.679  ,  24.43","0.66  ,         ,  0.856  ,  -93.04","0.79  ,         ,  0.982  ,  -236.86","0.34  ,         ,  0.618  ,  -93.04","0.33  ,         ,  0.875  ,  -208.18","0.31  ,         ,  0.253  ,  49.75","0.44  ,         ,  0.813  ,  -100.18","0.64  ,         ,  0.887  ,  -82.82","0.3  ,         ,  0.242  ,  -22.61","0.39  ,         ,  0.807  ,  -163.53","0.7  ,         ,  0.63  ,  -22.61","0.57  ,         ,  0.881  ,  -147.22","0.83  ,         ,  0.956  ,  -179.7","0.33  ,         ,  0.271  ,  47.27","0.46  ,         ,  0.817  ,  -102.67","0.66  ,         ,  0.892  ,  -87.94","1.66  ,         ,  0.544  ,  92.27","2.49  ,         ,  0.824  ,  34.95","0.95  ,         ,  0.938  ,  -113.14","0.94  ,         ,  0.961  ,  -120.48"
"51","       - X + X^2","-0.53  ,  0.11  ,  0.02  ,  79.81","0.3  ,  0.23  ,  0.528  ,  -2.9","-2.8  ,  1.44  ,  0.719  ,  12.65","1.15  ,  -0.05  ,  0.859  ,  -93.26","0.68  ,  0.01  ,  0.982  ,  -235.64","-0.15  ,  0.05  ,  0.626  ,  -93.26","-0.07  ,  0.04  ,  0.885  ,  -214.65","1.29  ,  -0.11  ,  0.269  ,  49.53","1.35  ,  -0.09  ,  0.84  ,  -114.28","0.14  ,  0.05  ,  0.891  ,  -84.56","-1.46  ,  0.24  ,  0.275  ,  -25.16","-0.28  ,  0.08  ,  0.826  ,  -172.23","2.46  ,  -0.24  ,  0.646  ,  -25.16","2.01  ,  -0.18  ,  0.927  ,  -194.72","0.52  ,  0.04  ,  0.957  ,  -180.26","1.03  ,  -0.14  ,  0.301  ,  44.97","1.01  ,  -0.1  ,  0.849  ,  -120.57","0.47  ,  0.04  ,  0.894  ,  -87.82","-0.15  ,  0.6  ,  0.549  ,  93.13","0.43  ,  0.68  ,  0.828  ,  34.35","0.72  ,  0.02  ,  0.938  ,  -111.72","0.76  ,  0.02  ,  0.961  ,  -119.23"
"52","CG.6210-1 - X","-0.26  ,         ,  0.042  ,  11.18","0.61  ,         ,  0.319  ,  2.46","1.2  ,         ,  0.505  ,  10.3","0.62  ,         ,  0.839  ,  -9.98","0.76  ,         ,  0.963  ,  -21.36","0.38  ,         ,  0.671  ,  -9.98","0.36  ,         ,  0.882  ,  -24.34","0.23  ,         ,  0.155  ,  9.43","0.34  ,         ,  0.654  ,  -7.01","0.57  ,         ,  0.757  ,  0.33","0.36  ,         ,  0.27  ,  1.16","0.44  ,         ,  0.763  ,  -14.59","0.64  ,         ,  0.532  ,  1.16","0.48  ,         ,  0.786  ,  -13.76","0.8  ,         ,  0.898  ,  -11.82","0.25  ,         ,  0.123  ,  9.94","0.38  ,         ,  0.606  ,  -5.21","0.68  ,         ,  0.787  ,  -1.47","1.42  ,         ,  0.666  ,  5.7","2.05  ,         ,  0.868  ,  -0.73","0.79  ,         ,  0.946  ,  -19.82","0.84  ,         ,  0.959  ,  -16.94"
"53","       - X + X^2","-1.2  ,  0.31  ,  0.047  ,  13.11","-2.75  ,  1.1  ,  0.4  ,  2.67","-6.96  ,  2.68  ,  0.705  ,  5.05","0.76  ,  -0.02  ,  0.839  ,  -7.99","-0.08  ,  0.08  ,  0.969  ,  -21.75","0.24  ,  0.02  ,  0.671  ,  -7.99","0.12  ,  0.02  ,  0.884  ,  -22.58","0.53  ,  -0.03  ,  0.155  ,  11.42","0.67  ,  -0.03  ,  0.657  ,  -5.14","-1.44  ,  0.2  ,  0.804  ,  -0.68","-4.15  ,  0.57  ,  0.322  ,  2.13","-0.18  ,  0.07  ,  0.771  ,  -13.07","5.15  ,  -0.57  ,  0.565  ,  2.13","2.2  ,  -0.2  ,  0.839  ,  -15.78","-0.22  ,  0.12  ,  0.906  ,  -10.95","1.16  ,  -0.16  ,  0.134  ,  11.76","0.81  ,  -0.07  ,  0.615  ,  -3.52","-0.35  ,  0.17  ,  0.808  ,  -0.95","-1.38  ,  0.92  ,  0.688  ,  6.74","-2.75  ,  1.58  ,  0.909  ,  -3.89","-1.62  ,  0.25  ,  0.971  ,  -26.33","-0.96  ,  0.18  ,  0.981  ,  -25.55"
"54","CG.6210-2 - X","-0.12  ,         ,  0.009  ,  24.16","1.14  ,         ,  0.544  ,  5.84","1.73  ,         ,  0.671  ,  19.78","0.63  ,         ,  0.869  ,  -51.25","0.8  ,         ,  0.982  ,  -99.83","0.37  ,         ,  0.688  ,  -51.25","0.31  ,         ,  0.878  ,  -94.61","0.27  ,         ,  0.23  ,  12.52","0.46  ,         ,  0.824  ,  -37.82","0.66  ,         ,  0.903  ,  -36.23","0.37  ,         ,  0.326  ,  -15.87","0.36  ,         ,  0.803  ,  -72.41","0.63  ,         ,  0.585  ,  -15.87","0.59  ,         ,  0.895  ,  -61.61","0.84  ,         ,  0.966  ,  -84.34","0.3  ,         ,  0.251  ,  11.27","0.5  ,         ,  0.838  ,  -41.71","0.72  ,         ,  0.923  ,  -46.9","1.62  ,         ,  0.577  ,  32.49","2.54  ,         ,  0.804  ,  22.87","0.89  ,         ,  0.903  ,  -35.22","0.9  ,         ,  0.949  ,  -39.41"
"55","       - X + X^2","-2.28  ,  0.74  ,  0.032  ,  25.06","0.24  ,  0.31  ,  0.547  ,  7.55","-2.28  ,  1.37  ,  0.7  ,  17.48","0.93  ,  -0.03  ,  0.871  ,  -49.72","0.79  ,  0  ,  0.982  ,  -97.83","0.07  ,  0.03  ,  0.691  ,  -49.72","0.06  ,  0.03  ,  0.883  ,  -94.37","0.86  ,  -0.07  ,  0.238  ,  14.05","1.41  ,  -0.1  ,  0.852  ,  -43.74","0.39  ,  0.03  ,  0.904  ,  -34.79","-1.25  ,  0.23  ,  0.353  ,  -15.71","-0.18  ,  0.07  ,  0.818  ,  -74.11","2.25  ,  -0.23  ,  0.601  ,  -15.71","2  ,  -0.18  ,  0.938  ,  -83.56","0.74  ,  0.01  ,  0.966  ,  -82.51","0.8  ,  -0.11  ,  0.273  ,  11.87","1.08  ,  -0.12  ,  0.871  ,  -50.16","0.62  ,  0.02  ,  0.923  ,  -45.16","-1.4  ,  1.03  ,  0.593  ,  32.68","0.74  ,  0.61  ,  0.808  ,  24.09","0.94  ,  -0.01  ,  0.903  ,  -33.23","0.94  ,  0  ,  0.95  ,  -37.43"
"56","CG.6210-3 - X","-0.51  ,         ,  0.115  ,  22.48","0.78  ,         ,  0.499  ,  -8.15","1.44  ,         ,  0.679  ,  3.99","0.65  ,         ,  0.788  ,  -14.89","0.78  ,         ,  0.981  ,  -62.41","0.35  ,         ,  0.529  ,  -14.89","0.37  ,         ,  0.87  ,  -48.42","0.29  ,         ,  0.159  ,  21.15","0.38  ,         ,  0.779  ,  -29.48","0.64  ,         ,  0.88  ,  -21.49","0.22  ,         ,  0.109  ,  1.68","0.45  ,         ,  0.804  ,  -37.73","0.78  ,         ,  0.602  ,  1.68","0.51  ,         ,  0.849  ,  -39.43","0.85  ,         ,  0.952  ,  -45.36","0.32  ,         ,  0.178  ,  20.58","0.4  ,         ,  0.804  ,  -32.63","0.68  ,         ,  0.907  ,  -28.28","1.39  ,         ,  0.487  ,  23.28","2.27  ,         ,  0.854  ,  1.26","0.96  ,         ,  0.975  ,  -55.77","0.96  ,         ,  0.985  ,  -57.42"
"57","       - X + X^2","-4.8  ,  1.39  ,  0.164  ,  23.01","-1.34  ,  0.68  ,  0.52  ,  -7.31","-5.88  ,  2.36  ,  0.784  ,  -4.24","1.92  ,  -0.13  ,  0.799  ,  -14.21","0.48  ,  0.03  ,  0.982  ,  -61.47","-0.92  ,  0.13  ,  0.552  ,  -14.21","0.38  ,  0  ,  0.87  ,  -46.42","2.84  ,  -0.26  ,  0.201  ,  21.83","1.33  ,  -0.09  ,  0.803  ,  -30.43","-0.23  ,  0.09  ,  0.888  ,  -21.28","-6.29  ,  0.87  ,  0.419  ,  -7.46","0.17  ,  0.03  ,  0.806  ,  -35.95","7.29  ,  -0.87  ,  0.741  ,  -7.46","2.29  ,  -0.21  ,  0.903  ,  -48.84","0.4  ,  0.05  ,  0.953  ,  -44.11","2.19  ,  -0.35  ,  0.253  ,  20.07","1.07  ,  -0.12  ,  0.837  ,  -35.33","0.28  ,  0.07  ,  0.912  ,  -27.59","-4.61  ,  1.94  ,  0.54  ,  22.42","-2.99  ,  1.7  ,  0.882  ,  -2.12","0.19  ,  0.08  ,  0.978  ,  -56.17","0.63  ,  0.03  ,  0.985  ,  -56.41"
"58","CG.6210-3+ - X","0.12  ,         ,  0.017  ,  2.67","1.08  ,         ,  0.74  ,  -8.61","1.7  ,         ,  0.803  ,  -0.94","0.61  ,         ,  0.923  ,  -21.01","0.79  ,         ,  0.984  ,  -30.97","0.39  ,         ,  0.832  ,  -21.01","0.34  ,         ,  0.947  ,  -37.28","0.22  ,         ,  0.275  ,  -1.6","0.41  ,         ,  0.893  ,  -21.04","0.62  ,         ,  0.877  ,  -7.48","0.52  ,         ,  0.581  ,  -8.23","0.42  ,         ,  0.915  ,  -30.65","0.48  ,         ,  0.549  ,  -8.23","0.54  ,         ,  0.94  ,  -29.12","0.81  ,         ,  0.947  ,  -19.22","0.23  ,         ,  0.285  ,  -1.79","0.43  ,         ,  0.898  ,  -21.76","0.65  ,         ,  0.892  ,  -9.29","2.04  ,         ,  0.81  ,  3.53","2.68  ,         ,  0.938  ,  -6.43","0.96  ,         ,  0.987  ,  -34.12","0.96  ,         ,  0.994  ,  -38.89"
"59","       - X + X^2","5.01  ,  -1.6  ,  0.171  ,  2.29","2.3  ,  -0.4  ,  0.746  ,  -6.93","-0.97  ,  0.88  ,  0.815  ,  0.19","1.44  ,  -0.09  ,  0.93  ,  -20.43","0.31  ,  0.05  ,  0.986  ,  -31.08","-0.44  ,  0.09  ,  0.848  ,  -20.43","0.01  ,  0.03  ,  0.953  ,  -36.85","1.89  ,  -0.18  ,  0.345  ,  -1.02","0.66  ,  -0.02  ,  0.895  ,  -19.29","-0.64  ,  0.13  ,  0.899  ,  -8.3","-0.79  ,  0.17  ,  0.589  ,  -6.5","0.24  ,  0.02  ,  0.916  ,  -28.81","1.79  ,  -0.17  ,  0.557  ,  -6.5","1.21  ,  -0.08  ,  0.948  ,  -29.21","-0.38  ,  0.14  ,  0.958  ,  -20.63","1.3  ,  -0.21  ,  0.374  ,  -1.64","0.69  ,  -0.05  ,  0.904  ,  -20.63","0.08  ,  0.1  ,  0.904  ,  -9","4.82  ,  -0.92  ,  0.819  ,  4.85","3.3  ,  -0.2  ,  0.938  ,  -4.5","-0.1  ,  0.11  ,  0.992  ,  -39.34","0.43  ,  0.05  ,  0.996  ,  -42.02"
"60","CG.6210-4 - X","-0.96  ,         ,  0.456  ,  5.42","0.83  ,         ,  0.551  ,  -6.03","1.55  ,         ,  0.747  ,  0.48","0.52  ,         ,  0.542  ,  -7.83","0.82  ,         ,  0.984  ,  -43.11","0.48  ,         ,  0.5  ,  -7.83","0.4  ,         ,  0.919  ,  -38.86","0.04  ,         ,  0.002  ,  15.74","0.42  ,         ,  0.785  ,  -18.55","0.72  ,         ,  0.916  ,  -18.32","0.04  ,         ,  0.002  ,  3.91","0.47  ,         ,  0.855  ,  -28.86","0.96  ,         ,  0.502  ,  3.91","0.53  ,         ,  0.859  ,  -25.75","0.9  ,         ,  0.972  ,  -37.08","0  ,         ,  0  ,  15.77","0.41  ,         ,  0.785  ,  -18.56","0.71  ,         ,  0.92  ,  -19.1","1.12  ,         ,  0.532  ,  5.61","2.31  ,         ,  0.914  ,  -7.82","1.03  ,         ,  0.974  ,  -43.79","1.01  ,         ,  0.992  ,  -47.17"
"61","       - X + X^2","-5.15  ,  1.29  ,  0.491  ,  6.3","-2.78  ,  1.11  ,  0.592  ,  -5.67","-7.2  ,  2.68  ,  0.841  ,  -5.36","0.11  ,  0.04  ,  0.543  ,  -5.85","0.79  ,  0  ,  0.984  ,  -41.11","0.89  ,  -0.04  ,  0.5  ,  -5.85","0.12  ,  0.03  ,  0.92  ,  -37.07","-0.78  ,  0.08  ,  0.004  ,  17.71","2.28  ,  -0.18  ,  0.82  ,  -19.58","0.27  ,  0.04  ,  0.917  ,  -16.48","-16.31  ,  2.08  ,  0.508  ,  -6.13","-1.01  ,  0.17  ,  0.875  ,  -29.48","17.31  ,  -2.08  ,  0.755  ,  -6.13","3.73  ,  -0.36  ,  0.937  ,  -37.37","1.24  ,  -0.04  ,  0.973  ,  -35.29","-1.11  ,  0.19  ,  0.011  ,  17.59","1.53  ,  -0.18  ,  0.824  ,  -19.97","0.56  ,  0.02  ,  0.92  ,  -17.16","-4.29  ,  1.66  ,  0.58  ,  5.73","-3.5  ,  1.78  ,  0.937  ,  -11.05","0.13  ,  0.09  ,  0.976  ,  -42.9","0.68  ,  0.03  ,  0.992  ,  -45.66"
"62","M.26 - X","-0.42  ,         ,  0.143  ,  7.05","0.94  ,         ,  0.541  ,  -2.79","1.74  ,         ,  0.717  ,  9.79","0.56  ,         ,  0.785  ,  -27.25","0.82  ,         ,  0.982  ,  -58.6","0.44  ,         ,  0.697  ,  -27.25","0.34  ,         ,  0.915  ,  -61.56","0.12  ,         ,  0.038  ,  10.18","0.41  ,         ,  0.803  ,  -25.69","0.7  ,         ,  0.896  ,  -17.15","0.41  ,         ,  0.235  ,  -2.25","0.4  ,         ,  0.847  ,  -45.69","0.59  ,         ,  0.393  ,  -2.25","0.52  ,         ,  0.872  ,  -37.35","0.88  ,         ,  0.962  ,  -44.47","0.09  ,         ,  0.023  ,  10.58","0.41  ,         ,  0.775  ,  -22.06","0.7  ,         ,  0.875  ,  -12.28","1.58  ,         ,  0.725  ,  3.58","2.66  ,         ,  0.929  ,  -11.54","0.98  ,         ,  0.986  ,  -76.12","0.99  ,         ,  0.996  ,  -86.73"
"63","       - X + X^2","-1.62  ,  0.36  ,  0.149  ,  8.85","-3.09  ,  1.21  ,  0.594  ,  -4.15","-7.78  ,  2.85  ,  0.833  ,  -2.39","1.07  ,  -0.05  ,  0.788  ,  -25.59","0.39  ,  0.04  ,  0.983  ,  -58.41","-0.07  ,  0.05  ,  0.701  ,  -25.58","-0.06  ,  0.04  ,  0.921  ,  -61.4","1.15  ,  -0.1  ,  0.049  ,  11.84","1.16  ,  -0.07  ,  0.815  ,  -25.37","-0.58  ,  0.12  ,  0.909  ,  -18.79","-3.02  ,  0.44  ,  0.284  ,  -2.03","-0.42  ,  0.09  ,  0.864  ,  -46.98","4.02  ,  -0.44  ,  0.431  ,  -2.03","2.2  ,  -0.19  ,  0.917  ,  -47.08","0.32  ,  0.06  ,  0.964  ,  -43.86","0.44  ,  -0.06  ,  0.027  ,  12.47","0.77  ,  -0.06  ,  0.783  ,  -21","-0.15  ,  0.14  ,  0.891  ,  -14.03","1.06  ,  0.16  ,  0.725  ,  5.53","-0.65  ,  0.99  ,  0.937  ,  -12.64","0.96  ,  0  ,  0.986  ,  -74.12","0.95  ,  0  ,  0.996  ,  -84.77"
"64","M.26+ - X","-0.42  ,         ,  0.143  ,  7.05","0.94  ,         ,  0.541  ,  -2.79","1.74  ,         ,  0.717  ,  9.79","0.56  ,         ,  0.785  ,  -27.25","0.82  ,         ,  0.982  ,  -58.6","0.44  ,         ,  0.697  ,  -27.25","0.34  ,         ,  0.915  ,  -61.56","0.12  ,         ,  0.038  ,  10.18","0.41  ,         ,  0.803  ,  -25.69","0.7  ,         ,  0.896  ,  -17.15","0.41  ,         ,  0.235  ,  -2.25","0.4  ,         ,  0.847  ,  -45.69","0.59  ,         ,  0.393  ,  -2.25","0.52  ,         ,  0.872  ,  -37.35","0.88  ,         ,  0.962  ,  -44.47","0.09  ,         ,  0.023  ,  10.58","0.41  ,         ,  0.775  ,  -22.06","0.7  ,         ,  0.875  ,  -12.28","1.58  ,         ,  0.725  ,  3.58","2.66  ,         ,  0.929  ,  -11.54","0.98  ,         ,  0.986  ,  -76.12","0.99  ,         ,  0.996  ,  -86.73"
"65","       - X + X^2","-1.62  ,  0.36  ,  0.149  ,  8.85","-3.09  ,  1.21  ,  0.594  ,  -4.15","-7.78  ,  2.85  ,  0.833  ,  -2.39","1.07  ,  -0.05  ,  0.788  ,  -25.59","0.39  ,  0.04  ,  0.983  ,  -58.41","-0.07  ,  0.05  ,  0.701  ,  -25.58","-0.06  ,  0.04  ,  0.921  ,  -61.4","1.15  ,  -0.1  ,  0.049  ,  11.84","1.16  ,  -0.07  ,  0.815  ,  -25.37","-0.58  ,  0.12  ,  0.909  ,  -18.79","-3.02  ,  0.44  ,  0.284  ,  -2.03","-0.42  ,  0.09  ,  0.864  ,  -46.98","4.02  ,  -0.44  ,  0.431  ,  -2.03","2.2  ,  -0.19  ,  0.917  ,  -47.08","0.32  ,  0.06  ,  0.964  ,  -43.86","0.44  ,  -0.06  ,  0.027  ,  12.47","0.77  ,  -0.06  ,  0.783  ,  -21","-0.15  ,  0.14  ,  0.891  ,  -14.03","1.06  ,  0.16  ,  0.725  ,  5.53","-0.65  ,  0.99  ,  0.937  ,  -12.64","0.96  ,  0  ,  0.986  ,  -74.12","0.95  ,  0  ,  0.996  ,  -84.77"
"66","JM.8 - X","-0.38  ,         ,  0.15  ,  -11.75","0.76  ,         ,  0.461  ,  -26.4","1.43  ,         ,  0.648  ,  9.6","0.53  ,         ,  0.802  ,  -98.37","0.79  ,         ,  0.975  ,  -157.85","0.47  ,         ,  0.761  ,  -98.37","0.37  ,         ,  0.909  ,  -166.47","0.06  ,         ,  0.013  ,  -1.33","0.37  ,         ,  0.734  ,  -75.78","0.65  ,         ,  0.852  ,  -51.13","0.51  ,         ,  0.317  ,  -25","0.45  ,         ,  0.823  ,  -119.35","0.49  ,         ,  0.296  ,  -25","0.5  ,         ,  0.831  ,  -107.71","0.85  ,         ,  0.944  ,  -119.13","0.05  ,         ,  0.01  ,  -1.13","0.37  ,         ,  0.712  ,  -70.39","0.65  ,         ,  0.84  ,  -45.74","1.57  ,         ,  0.756  ,  -14.19","2.4  ,         ,  0.916  ,  -42.66","0.96  ,         ,  0.981  ,  -192.36","0.98  ,         ,  0.992  ,  -205.38"
"67","       - X + X^2","-2.43  ,  0.58  ,  0.17  ,  -11.43","-2.83  ,  1.01  ,  0.509  ,  -30.96","-6.92  ,  2.34  ,  0.75  ,  -12.36","0.9  ,  -0.03  ,  0.803  ,  -96.88","0.27  ,  0.05  ,  0.977  ,  -161.21","0.1  ,  0.03  ,  0.762  ,  -96.88","0.25  ,  0.01  ,  0.91  ,  -164.8","0.79  ,  -0.07  ,  0.02  ,  0.16","0.77  ,  -0.04  ,  0.737  ,  -74.7","-0.73  ,  0.12  ,  0.869  ,  -57.54","-3.59  ,  0.5  ,  0.361  ,  -27.67","0.04  ,  0.05  ,  0.826  ,  -118.53","4.59  ,  -0.5  ,  0.342  ,  -27.67","1.91  ,  -0.16  ,  0.86  ,  -118.91","0.17  ,  0.08  ,  0.947  ,  -120.57","0.37  ,  -0.05  ,  0.014  ,  0.63","0.52  ,  -0.02  ,  0.713  ,  -68.68","-0.32  ,  0.14  ,  0.861  ,  -53.5","-0.05  ,  0.46  ,  0.76  ,  -13.28","-0.94  ,  0.94  ,  0.924  ,  -47.86","0.88  ,  0.01  ,  0.981  ,  -190.46","0.9  ,  0.01  ,  0.992  ,  -203.62"
"68","JM.8-1 - X","-0.53  ,         ,  0.25  ,  1.36","0.56  ,         ,  0.344  ,  -6.61","1.4  ,         ,  0.647  ,  7.06","0.51  ,         ,  0.736  ,  -25.02","0.8  ,         ,  0.976  ,  -52.43","0.49  ,         ,  0.719  ,  -25.02","0.4  ,         ,  0.899  ,  -49.56","0.02  ,         ,  0.001  ,  8.25","0.32  ,         ,  0.65  ,  -21.68","0.68  ,         ,  0.865  ,  -16","0.44  ,         ,  0.207  ,  -0.14","0.47  ,         ,  0.81  ,  -34.44","0.56  ,         ,  0.296  ,  -0.14","0.44  ,         ,  0.767  ,  -31.43","0.88  ,         ,  0.951  ,  -40.49","0.01  ,         ,  0  ,  8.28","0.31  ,         ,  0.627  ,  -20.2","0.66  ,         ,  0.846  ,  -12.88","1.5  ,         ,  0.732  ,  0.87","2.31  ,         ,  0.907  ,  -9.12","1.01  ,         ,  0.988  ,  -74.6","1.01  ,         ,  0.995  ,  -81.56"
"69","       - X + X^2","-4.93  ,  1.25  ,  0.317  ,  1.12","-4.85  ,  1.54  ,  0.468  ,  -9.64","-8.7  ,  2.88  ,  0.779  ,  -2.13","0.94  ,  -0.04  ,  0.738  ,  -23.21","0.27  ,  0.05  ,  0.978  ,  -52.38","0.06  ,  0.04  ,  0.721  ,  -23.21","0.4  ,  0  ,  0.899  ,  -47.56","0.88  ,  -0.08  ,  0.009  ,  10.06","0.34  ,  0  ,  0.65  ,  -19.68","-0.75  ,  0.13  ,  0.882  ,  -17.23","-5.92  ,  0.78  ,  0.307  ,  -1.38","0.22  ,  0.03  ,  0.811  ,  -32.56","6.92  ,  -0.78  ,  0.385  ,  -1.38","1.34  ,  -0.1  ,  0.781  ,  -30.93","0.2  ,  0.08  ,  0.954  ,  -39.74","0.45  ,  -0.07  ,  0.006  ,  10.12","0.25  ,  0.01  ,  0.628  ,  -18.22","-0.31  ,  0.14  ,  0.869  ,  -14.67","-2.09  ,  1.02  ,  0.749  ,  1.36","-2.14  ,  1.27  ,  0.92  ,  -10.79","1.31  ,  -0.03  ,  0.989  ,  -73.37","1.19  ,  -0.02  ,  0.996  ,  -80.32"
"70","JM.8-2 - X","-0.22  ,         ,  0.052  ,  1.8","0.99  ,         ,  0.605  ,  -6.68","1.55  ,         ,  0.721  ,  2.75","0.56  ,         ,  0.853  ,  -33.21","0.79  ,         ,  0.982  ,  -58","0.44  ,         ,  0.779  ,  -33.21","0.36  ,         ,  0.924  ,  -59.97","0.12  ,         ,  0.065  ,  1.45","0.43  ,         ,  0.821  ,  -26.45","0.64  ,         ,  0.885  ,  -19.49","0.52  ,         ,  0.403  ,  -8.34","0.43  ,         ,  0.859  ,  -44.43","0.48  ,         ,  0.368  ,  -8.34","0.56  ,         ,  0.888  ,  -38.2","0.83  ,         ,  0.954  ,  -42.63","0.12  ,         ,  0.064  ,  1.47","0.43  ,         ,  0.807  ,  -24.63","0.64  ,         ,  0.877  ,  -17.71","1.74  ,         ,  0.768  ,  2.26","2.56  ,         ,  0.924  ,  -10.72","0.98  ,         ,  0.986  ,  -67.3","0.99  ,         ,  0.994  ,  -72.4"
