"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"11","cherry-4","-0.76 [ -0.98 , -0.6 ]; 0.014","1 [ 0.86 , 1.18 ]; 0.59","1.52 [ 1.32 , 1.75 ]; 0.686","0.58 [ 0.53 , 0.62 ]; 0.903","0.66 [ 0.64 , 0.69 ]; 0.98","0.74 [ 0.72 , 0.77 ]; 0.979","0.49 [ 0.44 , 0.53 ]; 0.864","0.42 [ 0.39 , 0.45 ]; 0.932","0.39 [ 0.37 , 0.41 ]; 0.939","0.37 [ 0.29 , 0.47 ]; 0.066","0.42 [ 0.37 , 0.47 ]; 0.763","0.59 [ 0.54 , 0.65 ]; 0.844","0.84 [ 0.72 , 0.99 ]; 0.591","0.63 [ 0.58 , 0.69 ]; 0.863","0.52 [ 0.48 , 0.57 ]; 0.871","0.64 [ 0.52 , 0.79 ]; 0.298","0.63 [ 0.58 , 0.69 ]; 0.867","0.8 [ 0.75 , 0.85 ]; 0.932","0.36 [ 0.29 , 0.46 ]; 0.088","0.4 [ 0.36 , 0.45 ]; 0.799","0.6 [ 0.55 , 0.66 ]; 0.854","2.01 [ 1.82 , 2.22 ]; 0.843","2.52 [ 2.35 , 2.7 ]; 0.924","0.97 [ 0.94 , 1.01 ]; 0.98","0.84 [ 0.78 , 0.89 ]; 0.935","0.98 [ 0.96 , 1 ]; 0.993","-0.01 [ -0.01 , -0.01 ]; 0.01"
"12","cherry-5","-0.89 [ -1.23 , -0.64 ]; 0.028","1.26 [ 0.96 , 1.66 ]; 0.334","1.69 [ 1.33 , 2.17 ]; 0.462","0.6 [ 0.53 , 0.67 ]; 0.877","0.7 [ 0.65 , 0.76 ]; 0.952","0.77 [ 0.72 , 0.82 ]; 0.96","0.49 [ 0.42 , 0.56 ]; 0.818","0.42 [ 0.37 , 0.48 ]; 0.854","0.39 [ 0.34 , 0.44 ]; 0.868","0.43 [ 0.31 , 0.6 ]; 0.072","0.53 [ 0.44 , 0.65 ]; 0.662","0.66 [ 0.56 , 0.77 ]; 0.763","0.82 [ 0.65 , 1.04 ]; 0.487","0.6 [ 0.5 , 0.72 ]; 0.688","0.5 [ 0.42 , 0.6 ]; 0.729","0.73 [ 0.55 , 0.95 ]; 0.346","0.76 [ 0.67 , 0.87 ]; 0.846","0.85 [ 0.77 , 0.94 ]; 0.907","0.44 [ 0.32 , 0.61 ]; 0.06","0.5 [ 0.4 , 0.61 ]; 0.63","0.66 [ 0.56 , 0.79 ]; 0.733","2 [ 1.72 , 2.31 ]; 0.806","2.55 [ 2.26 , 2.87 ]; 0.877","0.98 [ 0.92 , 1.04 ]; 0.968","0.84 [ 0.75 , 0.94 ]; 0.898","0.99 [ 0.94 , 1.04 ]; 0.981","-0.01 [ -0.01 , 0 ]; 0.004"
"13","apple","-1.15 [ -1.27 , -1.04 ]; 0.024","1.1 [ 1.02 , 1.19 ]; 0.442","1.65 [ 1.54 , 1.76 ]; 0.577","0.65 [ 0.63 , 0.68 ]; 0.858","0.68 [ 0.67 , 0.69 ]; 0.968","0.76 [ 0.75 , 0.78 ]; 0.969","0.47 [ 0.44 , 0.49 ]; 0.721","0.41 [ 0.4 , 0.43 ]; 0.883","0.38 [ 0.37 , 0.39 ]; 0.903","0.53 [ 0.49 , 0.59 ]; 0.153","0.46 [ 0.43 , 0.48 ]; 0.71","0.63 [ 0.6 , 0.66 ]; 0.783","0.71 [ 0.66 , 0.77 ]; 0.344","0.61 [ 0.58 , 0.64 ]; 0.767","0.5 [ 0.48 , 0.52 ]; 0.81","0.82 [ 0.76 , 0.88 ]; 0.503","0.67 [ 0.64 , 0.69 ]; 0.853","0.82 [ 0.8 , 0.85 ]; 0.907","0.54 [ 0.5 , 0.6 ]; 0.155","0.43 [ 0.4 , 0.45 ]; 0.693","0.64 [ 0.61 , 0.67 ]; 0.768","2.11 [ 1.99 , 2.23 ]; 0.688","2.57 [ 2.49 , 2.66 ]; 0.892","0.98 [ 0.96 , 1 ]; 0.967","0.87 [ 0.84 , 0.91 ]; 0.855","0.98 [ 0.97 , 0.99 ]; 0.98","-0.01 [ -0.01 , -0.01 ]; 0.059"
"14","Bud.9","-1.76 [ -2.41 , -1.28 ]; 0.076","1.55 [ 1.21 , 1.99 ]; 0.432","2.11 [ 1.72 , 2.59 ]; 0.621","0.78 [ 0.68 , 0.9 ]; 0.823","0.75 [ 0.71 , 0.8 ]; 0.971","0.83 [ 0.79 , 0.86 ]; 0.981","0.44 [ 0.34 , 0.56 ]; 0.445","0.37 [ 0.32 , 0.43 ]; 0.8","0.34 [ 0.3 , 0.39 ]; 0.832","0.77 [ 0.59 , 1.02 ]; 0.283","0.58 [ 0.5 , 0.67 ]; 0.809","0.72 [ 0.64 , 0.8 ]; 0.886","0.57 [ 0.41 , 0.77 ]; 0.085","0.49 [ 0.41 , 0.59 ]; 0.673","0.41 [ 0.35 , 0.48 ]; 0.753","1 [ 0.83 , 1.19 ]; 0.704","0.76 [ 0.69 , 0.84 ]; 0.921","0.87 [ 0.81 , 0.93 ]; 0.957","0.84 [ 0.63 , 1.12 ]; 0.244","0.57 [ 0.48 , 0.68 ]; 0.735","0.78 [ 0.69 , 0.88 ]; 0.869","2.09 [ 1.63 , 2.68 ]; 0.428","2.71 [ 2.37 , 3.09 ]; 0.837","0.92 [ 0.84 , 1.01 ]; 0.919","0.77 [ 0.64 , 0.93 ]; 0.697","0.92 [ 0.86 , 0.98 ]; 0.957","-0.03 [ -0.04 , -0.02 ]; 0.224"
"15","Bud.9-1","-2.21 [ -4.42 , -1.11 ]; 0.016","2.49 [ 1.44 , 4.3 ]; 0.423","3.01 [ 1.92 , 4.74 ]; 0.615","0.83 [ 0.64 , 1.07 ]; 0.884","0.85 [ 0.78 , 0.94 ]; 0.984","0.9 [ 0.84 , 0.95 ]; 0.994","0.36 [ 0.2 , 0.63 ]; 0.38","0.3 [ 0.2 , 0.46 ]; 0.654","0.27 [ 0.19 , 0.4 ]; 0.721","0.79 [ 0.47 , 1.33 ]; 0.494","0.75 [ 0.61 , 0.91 ]; 0.929","0.82 [ 0.73 , 0.93 ]; 0.975","0.43 [ 0.22 , 0.84 ]; 0.097","0.35 [ 0.22 , 0.57 ]; 0.545","0.31 [ 0.2 , 0.47 ]; 0.666","0.96 [ 0.7 , 1.32 ]; 0.816","0.88 [ 0.79 , 0.98 ]; 0.979","0.92 [ 0.86 , 0.98 ]; 0.993","0.82 [ 0.48 , 1.41 ]; 0.429","0.71 [ 0.55 , 0.93 ]; 0.874","0.86 [ 0.76 , 0.97 ]; 0.974","2.7 [ 1.56 , 4.65 ]; 0.424","3.5 [ 2.41 , 5.08 ]; 0.745","0.97 [ 0.86 , 1.09 ]; 0.974","0.81 [ 0.63 , 1.03 ]; 0.893","0.96 [ 0.88 , 1.04 ]; 0.987","-0.02 [ -0.04 , -0.01 ]; 0.023"
"16","Bud.9-2","-2.21 [ -5.19 , -0.94 ]; 0.071","1.56 [ 0.97 , 2.52 ]; 0.757","2.15 [ 1.54 , 3 ]; 0.884","0.85 [ 0.58 , 1.24 ]; 0.852","0.75 [ 0.69 , 0.81 ]; 0.994","0.81 [ 0.76 , 0.87 ]; 0.995","0.39 [ 0.18 , 0.84 ]; 0.306","0.34 [ 0.24 , 0.46 ]; 0.894","0.31 [ 0.24 , 0.41 ]; 0.927","0.86 [ 0.43 , 1.74 ]; 0.429","0.53 [ 0.43 , 0.65 ]; 0.957","0.67 [ 0.56 , 0.8 ]; 0.968","0.46 [ 0.19 , 1.1 ]; 0.036","0.45 [ 0.31 , 0.66 ]; 0.848","0.38 [ 0.29 , 0.51 ]; 0.913","1.02 [ 0.66 , 1.57 ]; 0.802","0.7 [ 0.62 , 0.8 ]; 0.983","0.82 [ 0.73 , 0.92 ]; 0.987","1.12 [ 0.56 , 2.24 ]; 0.427","0.65 [ 0.38 , 1.09 ]; 0.7","0.89 [ 0.62 , 1.27 ]; 0.864","1.98 [ 0.87 , 4.52 ]; 0.146","2.42 [ 1.91 , 3.06 ]; 0.943","0.78 [ 0.48 , 1.26 ]; 0.749","0.67 [ 0.31 , 1.45 ]; 0.26","0.75 [ 0.53 , 1.06 ]; 0.877","-0.04 [ -0.06 , -0.02 ]; 0.823"
"17","Bud.9-3","-1.08 [ -2.71 , -0.43 ]; 0.156","1.16 [ 0.8 , 1.67 ]; 0.894","1.9 [ 1.33 , 2.71 ]; 0.901","0.62 [ 0.37 , 1.03 ]; 0.783","0.72 [ 0.67 , 0.77 ]; 0.996","0.82 [ 0.74 , 0.9 ]; 0.992","0.54 [ 0.3 , 0.96 ]; 0.715","0.41 [ 0.32 , 0.53 ]; 0.951","0.36 [ 0.29 , 0.45 ]; 0.963","0.58 [ 0.22 , 1.54 ]; 0.025","0.48 [ 0.4 , 0.57 ]; 0.976","0.69 [ 0.54 , 0.88 ]; 0.952","0.87 [ 0.36 , 2.1 ]; 0.25","0.57 [ 0.42 , 0.77 ]; 0.93","0.44 [ 0.34 , 0.58 ]; 0.945","0.94 [ 0.41 , 2.15 ]; 0.358","0.66 [ 0.59 , 0.74 ]; 0.99","0.84 [ 0.72 , 0.98 ]; 0.982","0.53 [ 0.2 , 1.42 ]; 0.001","0.41 [ 0.32 , 0.52 ]; 0.954","0.67 [ 0.5 , 0.89 ]; 0.935","2.03 [ 1.26 , 3.27 ]; 0.815","2.85 [ 2.48 , 3.28 ]; 0.985","1.09 [ 0.91 , 1.3 ]; 0.976","0.84 [ 0.56 , 1.25 ]; 0.869","1.04 [ 0.94 , 1.14 ]; 0.993","0.01 [ 0 , 0.03 ]; 0.091"
"18","Bud.9-4","-1.44 [ -2.56 , -0.81 ]; 0.159","0.86 [ 0.62 , 1.2 ]; 0.746","1.6 [ 1.19 , 2.15 ]; 0.793","0.71 [ 0.52 , 0.98 ]; 0.76","0.66 [ 0.62 , 0.7 ]; 0.992","0.77 [ 0.71 , 0.83 ]; 0.986","0.51 [ 0.33 , 0.8 ]; 0.537","0.44 [ 0.35 , 0.54 ]; 0.898","0.4 [ 0.33 , 0.49 ]; 0.906","0.74 [ 0.41 , 1.34 ]; 0.11","0.38 [ 0.31 , 0.46 ]; 0.913","0.64 [ 0.52 , 0.79 ]; 0.899","0.72 [ 0.4 , 1.31 ]; 0.094","0.67 [ 0.52 , 0.85 ]; 0.854","0.52 [ 0.41 , 0.66 ]; 0.871","1.04 [ 0.68 , 1.59 ]; 0.564","0.57 [ 0.5 , 0.66 ]; 0.953","0.83 [ 0.72 , 0.95 ]; 0.956","0.82 [ 0.46 , 1.47 ]; 0.137","0.37 [ 0.31 , 0.45 ]; 0.929","0.69 [ 0.59 , 0.81 ]; 0.942","1.76 [ 1.11 , 2.79 ]; 0.478","2.3 [ 1.86 , 2.85 ]; 0.896","0.9 [ 0.81 , 1.01 ]; 0.973","0.77 [ 0.54 , 1.08 ]; 0.722","0.92 [ 0.85 , 1 ]; 0.986","-0.02 [ -0.03 , -0.01 ]; 0.119"
"19","Bud.9-4+","-1.44 [ -2.56 , -0.81 ]; 0.159","0.85 [ 0.6 , 1.2 ]; 0.719","1.41 [ 1 , 1.98 ]; 0.723","0.71 [ 0.52 , 0.98 ]; 0.76","-","0.69 [ 0.61 , 0.8 ]; 0.957","0.51 [ 0.33 , 0.8 ]; 0.537","-","0.41 [ 0.33 , 0.5 ]; 0.899","0.74 [ 0.41 , 1.34 ]; 0.11","0.35 [ 0.27 , 0.44 ]; 0.867","0.58 [ 0.42 , 0.78 ]; 0.782","0.72 [ 0.4 , 1.31 ]; 0.094","-","0.59 [ 0.43 , 0.8 ]; 0.782","1.04 [ 0.68 , 1.59 ]; 0.564","0.5 [ 0.39 , 0.64 ]; 0.855","0.83 [ 0.65 , 1.06 ]; 0.863","0.85 [ 0.49 , 1.47 ]; 0.252","0.39 [ 0.31 , 0.49 ]; 0.876","0.64 [ 0.51 , 0.82 ]; 0.866","1.69 [ 0.99 , 2.87 ]; 0.297","2.18 [ 1.7 , 2.8 ]; 0.857","0.87 [ 0.69 , 1.1 ]; 0.871","-","0.89 [ 0.77 , 1.04 ]; 0.951","-0.02 [ -0.03 , -0.01 ]; 0.119"
"20","CG.3041","-1.17 [ -1.53 , -0.89 ]; 0.037","1.13 [ 0.95 , 1.34 ]; 0.629","1.83 [ 1.6 , 2.11 ]; 0.755","0.65 [ 0.59 , 0.73 ]; 0.846","0.7 [ 0.67 , 0.73 ]; 0.981","0.8 [ 0.77 , 0.83 ]; 0.979","0.47 [ 0.41 , 0.55 ]; 0.706","0.42 [ 0.38 , 0.46 ]; 0.88","0.37 [ 0.34 , 0.4 ]; 0.932","0.55 [ 0.43 , 0.72 ]; 0.138","0.47 [ 0.42 , 0.53 ]; 0.834","0.68 [ 0.61 , 0.75 ]; 0.857","0.72 [ 0.57 , 0.91 ]; 0.314","0.6 [ 0.53 , 0.68 ]; 0.81","0.46 [ 0.42 , 0.51 ]; 0.889","0.84 [ 0.69 , 1.03 ]; 0.497","0.67 [ 0.62 , 0.73 ]; 0.92","0.85 [ 0.79 , 0.91 ]; 0.941","0.57 [ 0.44 , 0.73 ]; 0.164","0.43 [ 0.38 , 0.48 ]; 0.849","0.7 [ 0.63 , 0.77 ]; 0.885","2.06 [ 1.75 , 2.43 ]; 0.652","2.63 [ 2.42 , 2.87 ]; 0.907","0.98 [ 0.94 , 1.02 ]; 0.976","0.87 [ 0.78 , 0.96 ]; 0.861","0.97 [ 0.94 , 1 ]; 0.989","-0.01 [ -0.01 , -0.01 ]; 0.055"
"21","CG.3041-1","-1.16 [ -1.95 , -0.69 ]; 0.032","1.19 [ 0.82 , 1.72 ]; 0.537","1.9 [ 1.37 , 2.65 ]; 0.628","0.65 [ 0.53 , 0.81 ]; 0.851","0.7 [ 0.64 , 0.77 ]; 0.972","0.81 [ 0.73 , 0.89 ]; 0.968","0.47 [ 0.35 , 0.63 ]; 0.712","0.41 [ 0.35 , 0.49 ]; 0.909","0.37 [ 0.32 , 0.44 ]; 0.919","0.55 [ 0.33 , 0.89 ]; 0.142","0.49 [ 0.38 , 0.64 ]; 0.765","0.71 [ 0.56 , 0.9 ]; 0.808","0.72 [ 0.46 , 1.12 ]; 0.326","0.59 [ 0.46 , 0.74 ]; 0.812","0.46 [ 0.37 , 0.58 ]; 0.831","0.83 [ 0.57 , 1.22 ]; 0.498","0.7 [ 0.58 , 0.84 ]; 0.889","0.88 [ 0.76 , 1.02 ]; 0.926","0.55 [ 0.34 , 0.89 ]; 0.185","0.46 [ 0.36 , 0.58 ]; 0.809","0.73 [ 0.59 , 0.91 ]; 0.849","2.09 [ 1.51 , 2.9 ]; 0.636","2.6 [ 2.13 , 3.16 ]; 0.87","0.99 [ 0.9 , 1.08 ]; 0.971","0.87 [ 0.67 , 1.12 ]; 0.769","0.97 [ 0.9 , 1.04 ]; 0.983","-0.01 [ -0.02 , -0.01 ]; 0.103"
"22","CG.3041-1+","-1.16 [ -1.95 , -0.69 ]; 0.032","1.23 [ 0.85 , 1.79 ]; 0.514","1.79 [ 1.27 , 2.52 ]; 0.598","0.65 [ 0.53 , 0.81 ]; 0.851","-","0.74 [ 0.67 , 0.83 ]; 0.959","0.47 [ 0.35 , 0.63 ]; 0.712","-","0.38 [ 0.32 , 0.44 ]; 0.916","0.55 [ 0.33 , 0.89 ]; 0.142","0.46 [ 0.36 , 0.6 ]; 0.765","0.67 [ 0.52 , 0.87 ]; 0.772","0.72 [ 0.46 , 1.12 ]; 0.326","-","0.51 [ 0.4 , 0.64 ]; 0.802","0.83 [ 0.57 , 1.22 ]; 0.498","0.62 [ 0.5 , 0.77 ]; 0.841","0.91 [ 0.76 , 1.07 ]; 0.903","0.59 [ 0.37 , 0.92 ]; 0.285","0.51 [ 0.38 , 0.69 ]; 0.692","0.75 [ 0.57 , 0.98 ]; 0.742","1.97 [ 1.34 , 2.91 ]; 0.48","2.4 [ 2.04 , 2.82 ]; 0.911","0.93 [ 0.78 , 1.11 ]; 0.891","-","0.9 [ 0.82 , 1 ]; 0.969","-0.01 [ -0.02 , -0.01 ]; 0.103"
