species,tree,location,position,m,ft,in
cherry,2,0,sd,3.444,11.3,0
cherry,2,2,nd,2.652,8.7,0
cherry,2,2,ml,1.981,6.5,0
cherry,2,2,mh,5.029,16.5,0
cherry,2,2,sd,2.774,9.1,0
cherry,2,4,nd,2.438,8,0
cherry,2,4,ml,0.914,3,0
cherry,2,4,mh,5.334,17.5,0
cherry,2,4,sd,2.743,9,0
cherry,2,6,nd,1.89,6.2,0
cherry,2,6,ml,1.676,5.5,0
cherry,2,6,mh,5.334,17.5,0
cherry,2,6,sd,1.951,6.4,0
cherry,2,8,nd,2.012,6.6,0
cherry,2,8,ml,0.914,3,0
cherry,2,8,mh,4.42,14.5,0
cherry,2,8,sd,3.292,10.8,0
cherry,3,0,nd,2.469,8.1,0
cherry,3,0,ml,1.067,3.5,0
cherry,3,0,mh,4.42,14.5,0
cherry,3,0,sd,3.322,10.9,0
cherry,3,2,nd,1.981,6.5,0
cherry,3,2,ml,1.981,6.5,0
cherry,3,2,mh,4.724,15.5,0
cherry,3,2,sd,2.896,9.5,0
cherry,3,4,nd,3.383,11.1,0
cherry,3,4,ml,1.219,4,0
cherry,3,4,mh,5.944,19.5,0
cherry,3,4,sd,2.56,8.4,0
cherry,3,6,nd,1.646,5.4,0
cherry,3,6,ml,2.438,8,0
cherry,3,6,mh,5.639,18.5,0
cherry,3,6,sd,2.804,9.2,0
cherry,3,8,nd,2.53,8.3,0
cherry,3,8,ml,1.067,3.5,0
cherry,3,8,mh,4.877,16,0
cherry,3,8,sd,2.621,8.6,0
cherry,4,0,nd,2.835,9.3,0
cherry,4,0,ml,1.067,3.5,0
cherry,4,0,mh,3.962,13,0
cherry,4,0,sd,3.078,10.1,0
cherry,4,2,nd,2.591,8.5,0
cherry,4,2,ml,2.438,8,0
cherry,4,2,mh,4.42,14.5,0
cherry,4,2,sd,2.774,9.1,0
cherry,4,4,nd,2.774,9.1,0
cherry,4,4,ml,1.067,3.5,0
cherry,4,4,mh,3.658,12,0
cherry,4,4,sd,3.383,11.1,0
cherry,4,6,nd,2.591,8.5,0
cherry,4,6,ml,1.524,5,0
cherry,4,6,mh,4.267,14,0
cherry,4,6,sd,3.292,10.8,0
cherry,4,8,nd,3.322,10.9,0
cherry,4,8,ml,1.067,3.5,0
cherry,4,8,mh,4.724,15.5,0
cherry,4,8,sd,3.505,11.5,0
cherry,5,0,nd,2.042,6.7,0
cherry,5,0,ml,1.067,3.5,0
cherry,5,0,mh,4.724,15.5,0
cherry,5,0,sd,2.652,8.7,0
cherry,5,2,nd,2.316,7.6,0
cherry,5,2,ml,2.286,7.5,0
cherry,5,2,mh,4.724,15.5,0
cherry,5,2,sd,1.28,4.2,0
cherry,5,4,nd,2.621,8.6,0
cherry,5,4,ml,1.219,4,0
cherry,5,4,mh,5.029,16.5,0
cherry,5,4,sd,2.438,8,0
cherry,5,6,nd,2.377,7.8,0
cherry,5,6,ml,1.981,6.5,0
cherry,5,6,mh,4.724,15.5,0
cherry,5,6,sd,1.646,5.4,0
cherry,5,8,nd,2.621,8.6,0
cherry,5,8,ml,0.914,3,0
cherry,5,8,mh,5.029,16.5,0
cherry,5,8,sd,2.316,7.6,0
cherry,6,0,nd,2.774,9.1,0
cherry,6,0,sd,3.231,10.6,0
cherry,6,0,ml,0.762,2.5,0
cherry,6,0,mh,5.334,17.5,0
cherry,6,2,nd,1.615,5.3,0
cherry,6,2,sd,1.859,6.1,0
cherry,6,2,ml,2.134,7,0
cherry,6,2,mh,5.029,16.5,0
cherry,6,4,nd,2.012,6.6,0
cherry,6,4,sd,3.505,11.5,0
cherry,6,4,ml,1.067,3.5,0
cherry,6,4,mh,5.639,18.5,0
cherry,6,6,nd,2.713,8.9,0
cherry,6,6,sd,1.554,5.1,0
cherry,6,6,ml,2.286,7.5,0
cherry,6,6,mh,3.505,11.5,0
cherry,6,8,nd,1.951,6.4,0
cherry,6,8,sd,1.219,4,0
cherry,6,8,ml,0.914,3,0
cherry,6,8,mh,3.658,12,0
cherry,7,0,nd,0,0,0
cherry,7,0,sd,2.256,7.4,0
cherry,7,0,ml,3.505,11.5,0
cherry,7,0,mh,4.267,14,0
cherry,7,2,nd,0.579,1.9,0
cherry,7,2,sd,1.25,4.1,0
cherry,7,2,ml,1.829,6,0
cherry,7,2,mh,3.048,10,0
cherry,7,4,nd,2.469,8.1,0
cherry,7,4,sd,0.853,2.8,0
cherry,7,4,ml,0.61,2,0
cherry,7,4,mh,3.962,13,0
cherry,7,6,nd,1.615,5.3,0
cherry,7,6,sd,3.018,9.9,0
cherry,7,6,ml,1.676,5.5,0
cherry,7,6,mh,5.182,17,0
cherry,7,8,nd,2.103,6.9,0
cherry,7,8,sd,3.353,11,0
cherry,7,8,ml,1.219,4,0
cherry,7,8,mh,4.877,16,0
cherry,8,0,nd,2.073,6.8,0
cherry,8,0,sd,2.987,9.8,0
cherry,8,0,ml,0.762,2.5,0
cherry,8,0,mh,5.791,19,0
cherry,8,2,nd,2.012,6.6,0
cherry,8,2,sd,2.347,7.7,0
cherry,8,2,ml,1.676,5.5,0
cherry,8,2,mh,5.639,18.5,0
cherry,8,4,nd,2.53,8.3,0
cherry,8,4,sd,3.292,10.8,0
cherry,8,4,ml,1.067,3.5,0
cherry,8,4,mh,5.182,17,0
cherry,8,6,nd,2.164,7.1,0
cherry,8,6,sd,2.621,8.6,0
cherry,8,6,ml,1.524,5,0
cherry,8,6,mh,4.877,16,0
cherry,8,8,nd,2.499,8.2,0
cherry,8,8,sd,1.311,4.3,0
cherry,8,8,ml,2.134,7,0
cherry,8,8,mh,4.877,16,0
cherry,9,0,nd,2.591,8.5,0
cherry,9,0,sd,3.78,12.4,0
cherry,9,0,ml,1.219,4,0
cherry,9,0,mh,5.029,16.5,0
cherry,9,2,nd,2.316,7.6,0
cherry,9,2,sd,4.602,15.1,0
cherry,9,2,ml,2.134,7,0
cherry,9,2,mh,4.724,15.5,0
cherry,9,4,nd,3.018,9.9,0
cherry,9,4,sd,4.785,15.7,0
cherry,9,4,ml,0.762,2.5,0
cherry,9,4,mh,5.944,19.5,0
cherry,9,6,nd,3.566,11.7,0
cherry,9,6,sd,3.018,9.9,0
cherry,9,6,ml,2.591,8.5,0
cherry,9,6,mh,5.944,19.5,0
cherry,9,8,nd,3.139,10.3,0
cherry,9,8,sd,2.957,9.7,0
cherry,9,8,ml,1.372,4.5,0
cherry,9,8,mh,5.486,18,0
cherry,10,0,nd,2.469,8.1,0
cherry,10,0,sd,1.707,5.6,0
cherry,10,0,ml,1.067,3.5,0
cherry,10,0,mh,3.048,10,0
cherry,10,2,nd,3.749,12.3,0
cherry,10,2,sd,3.2,10.5,0
cherry,10,2,ml,1.219,4,0
cherry,10,2,mh,4.267,14,0
cherry,10,4,nd,4.084,13.4,0
cherry,10,4,sd,2.743,9,0
cherry,10,4,ml,1.067,3.5,0
cherry,10,4,mh,4.42,14.5,0
cherry,10,6,nd,2.713,8.9,0
cherry,10,6,sd,2.743,9,0
cherry,10,6,ml,1.219,4,0
cherry,10,6,mh,5.639,18.5,0
cherry,10,8,nd,3.901,12.8,0
cherry,10,8,sd,3.414,11.2,0
cherry,10,8,ml,1.067,3.5,0
cherry,10,8,mh,5.334,17.5,0
cherry,11,0,nd,3.17,10.4,0
cherry,11,0,sd,3.901,12.8,0
cherry,11,0,ml,1.067,3.5,0
cherry,11,0,mh,4.877,16,0
cherry,11,2,nd,3.048,10,0
cherry,11,2,sd,3.048,10,0
cherry,11,2,ml,1.981,6.5,0
cherry,11,2,mh,3.962,13,0
cherry,11,4,nd,1.433,4.7,0
cherry,11,4,sd,3.566,11.7,0
cherry,11,4,ml,1.067,3.5,0
cherry,11,4,mh,3.048,10,0
cherry,11,6,nd,2.743,9,0
cherry,11,6,sd,3.018,9.9,0
cherry,11,6,ml,1.829,6,0
cherry,11,6,mh,2.896,9.5,0
cherry,11,8,nd,2.896,9.5,0
cherry,11,8,sd,2.621,8.6,0
cherry,11,8,ml,1.219,4,0
cherry,11,8,mh,3.048,10,0
cherry,12,0,nd,3.78,12.4,0
cherry,12,0,sd,3.078,10.1,0
cherry,12,0,ml,1.067,3.5,0
cherry,12,0,mh,5.791,19,0
cherry,12,2,nd,3.048,10,0
cherry,12,2,sd,3.505,11.5,0
cherry,12,2,ml,1.829,6,0
cherry,12,2,mh,5.486,18,0
cherry,12,4,nd,3.261,10.7,0
cherry,12,4,sd,3.048,10,0
cherry,12,4,ml,1.219,4,0
cherry,12,4,mh,5.486,18,0
cherry,12,6,nd,2.621,8.6,0
cherry,12,6,sd,2.591,8.5,0
cherry,12,6,ml,1.981,6.5,0
cherry,12,6,mh,4.267,14,0
cherry,12,8,nd,2.865,9.4,0
cherry,12,8,sd,3.109,10.2,0
cherry,12,8,ml,1.067,3.5,0
cherry,12,8,mh,5.029,16.5,0
cherry,13,0,nd,3.932,12.9,0
cherry,13,0,sd,2.743,9,0
cherry,13,0,ml,0.762,2.5,0
cherry,13,0,mh,5.486,18,0
cherry,13,2,nd,3.353,11,0
cherry,13,2,sd,1.676,5.5,0
cherry,13,2,ml,1.829,6,0
cherry,13,2,mh,4.267,14,0
cherry,13,4,nd,3.048,10,0
cherry,13,4,sd,1.89,6.2,0
cherry,13,4,ml,1.219,4,0
cherry,13,4,mh,4.877,16,0
cherry,13,6,nd,2.134,7,0
cherry,13,6,sd,1.737,5.7,0
cherry,13,6,ml,1.829,6,0
cherry,13,6,mh,4.115,13.5,0
cherry,13,8,nd,3.018,9.9,0
cherry,13,8,sd,3.719,12.2,0
cherry,13,8,ml,1.219,4,0
cherry,13,8,mh,5.791,19,0
cherry,14,0,nd,2.56,8.4,0
cherry,14,0,sd,2.926,9.6,0
cherry,14,0,ml,0.61,2,0
cherry,14,0,mh,4.267,14,0
cherry,14,2,nd,2.347,7.7,0
cherry,14,2,sd,2.256,7.4,0
cherry,14,2,ml,1.372,4.5,0
cherry,14,2,mh,4.42,14.5,0
cherry,14,4,nd,1.859,6.1,0
cherry,14,4,sd,2.438,8,0
cherry,14,4,ml,0.914,3,0
cherry,14,4,mh,3.962,13,0
cherry,14,6,nd,2.56,8.4,0
cherry,14,6,sd,2.256,7.4,0
cherry,14,6,ml,2.286,7.5,0
cherry,14,6,mh,3.658,12,0
cherry,14,8,nd,1.859,6.1,0
cherry,14,8,sd,2.377,7.8,0
cherry,14,8,ml,0.914,3,0
cherry,14,8,mh,4.724,15.5,0
apple,1,0,wd,0,0,0
apple,1,0,ml,1.676,0,0
apple,1,0,mh,1.702,0,0
apple,1,0,ed,0,0,0
apple,1,2,wd,0.787,0,0
apple,1,2,ml,0.559,0,0
apple,1,2,mh,2.083,0,0
apple,1,2,ed,1.499,0,0
apple,1,4,wd,1.143,0,0
apple,1,4,ml,0.533,0,0
apple,1,4,mh,3.835,0,0
apple,1,4,ed,1.270,0,0
apple,1,6,wd,0.483,0,0
apple,1,6,ml,0.584,0,0
apple,1,6,mh,1.473,0,0
apple,1,6,ed,0.914,0,0
apple,1,8,wd,0,0,0
apple,1,8,ml,0.711,0,0
apple,1,8,mh,0.940,0,0
apple,1,8,ed,0.559,0,0
apple,2,0,wd,0,0,0
apple,2,0,ml,0,0,0
apple,2,0,mh,0,0,0
apple,2,0,ed,0,0,0
apple,2,2,wd,0,0,0
apple,2,2,ml,0.71,0,0
apple,2,2,mh,1.03,0,0
apple,2,2,ed,0.6,0,0
apple,2,4,wd,0.7,0,0
apple,2,4,ml,0.52,0,0
apple,2,4,mh,2.1,0,0
apple,2,4,ed,1.18,0,0
apple,2,6,wd,0.23,0,0
apple,2,6,ml,0.75,0,0
apple,2,6,mh,1.3,0,0
apple,2,6,ed,0.3,0,0
apple,2,8,wd,0,0,0
apple,2,8,ml,0,0,0
apple,2,8,mh,0,0,0
apple,2,8,ed,0,0,0
apple,4,0,wd,0,0,0
apple,4,0,ml,0,0,0
apple,4,0,mh,0,0,0
apple,4,0,ed,0,0,0
apple,4,2,wd,1.78,0,0
apple,4,2,ml,0.77,0,0
apple,4,2,mh,2.5,0,0
apple,4,2,ed,0.8,0,0
apple,4,4,wd,1.3,0,0
apple,4,4,ml,0.4,0,0
apple,4,4,mh,3.95,0,0
apple,4,4,ed,2.2,0,0
apple,4,6,wd,0.28,0,0
apple,4,6,ml,0.39,0,0
apple,4,6,mh,0.95,0,0
apple,4,6,ed,0.5,0,0
apple,4,8,wd,0,0,0
apple,4,8,ml,0.47,0,0
apple,4,8,mh,0.88,0,0
apple,4,8,ed,0.8,0,0
apple,5,0,wd,0.4,0,0
apple,5,0,ml,0.8,0,0
apple,5,0,mh,1.15,0,0
apple,5,0,ed,0,0,0
apple,5,2,wd,0.55,0,0
apple,5,2,ml,0.55,0,0
apple,5,2,mh,1,0,0
apple,5,2,ed,2,0,0
apple,5,4,wd,1.45,0,0
apple,5,4,ml,0.65,0,0
apple,5,4,mh,3.9,0,0
apple,5,4,ed,1.5,0,0
apple,5,6,wd,0.6,0,0
apple,5,6,ml,0.56,0,0
apple,5,6,mh,1.85,0,0
apple,5,6,ed,1.1,0,0
apple,5,8,wd,0,0,0
apple,5,8,ml,0,0,0
apple,5,8,mh,0,0,0
apple,5,8,ed,0,0,0
apple,6,0,wd,0,0,0
apple,6,0,ml,1.2,0,0
apple,6,0,mh,1.9,0,0
apple,6,0,ed,0,0,0
apple,6,2,wd,1.4,0,0
apple,6,2,ml,0.84,0,0
apple,6,2,mh,2.2,0,0
apple,6,2,ed,0.75,0,0
apple,6,4,wd,1.2,0,0
apple,6,4,ml,0.7,0,0
apple,6,4,mh,2.85,0,0
apple,6,4,ed,0.53,0,0
apple,6,6,wd,0.7,0,0
apple,6,6,ml,0.75,0,0
apple,6,6,mh,3.75,0,0
apple,6,6,ed,0.6,0,0
apple,6,8,wd,0,0,0
apple,6,8,ml,0.12,0,0
apple,6,8,mh,2.3,0,0
apple,6,8,ed,0,0,0
apple,7,0,wd,0,0,0
apple,7,0,ml,0,0,0
apple,7,0,mh,0,0,0
apple,7,0,ed,0,0,0
apple,7,2,wd,0.25,0,0
apple,7,2,ml,0.85,0,0
apple,7,2,mh,1.05,0,0
apple,7,2,ed,0.4,0,0
apple,7,4,wd,0.8,0,0
apple,7,4,ml,0.6,0,0
apple,7,4,mh,2.3,0,0
apple,7,4,ed,1.15,0,0
apple,7,6,wd,0,0,0
apple,7,6,ml,0.85,0,0
apple,7,6,mh,1.2,0,0
apple,7,6,ed,0,0,0
apple,7,8,wd,0,0,0
apple,7,8,ml,0,0,0
apple,7,8,mh,0,0,0
apple,7,8,ed,0,0,0
apple,8,0,wd,0,0,0
apple,8,0,ml,0,0,0
apple,8,0,mh,0,0,0
apple,8,0,ed,0,0,0
apple,8,2,wd,0.55,0,0
apple,8,2,ml,0.95,0,0
apple,8,2,mh,1.1,0,0
apple,8,2,ed,0.7,0,0
apple,8,4,wd,1.7,0,0
apple,8,4,ml,0.45,0,0
apple,8,4,mh,3.05,0,0
apple,8,4,ed,1.4,0,0
apple,8,6,wd,0.4,0,0
apple,8,6,ml,0.55,0,0
apple,8,6,mh,0.9,0,0
apple,8,6,ed,0.5,0,0
apple,8,8,wd,0,0,0
apple,8,8,ml,0.4,0,0
apple,8,8,mh,0.4,0,0
apple,8,8,ed,0,0,0
apple,9,0,wd,1.05,0,0
apple,9,0,ml,1.25,0,0
apple,9,0,mh,2.05,0,0
apple,9,0,ed,0,0,0
apple,9,2,wd,0.75,0,0
apple,9,2,ml,1.31,0,0
apple,9,2,mh,3,0,0
apple,9,2,ed,1.1,0,0
apple,9,4,wd,0.8,0,0
apple,9,4,ml,0.55,0,0
apple,9,4,mh,4.5,0,0
apple,9,4,ed,0.8,0,0
apple,9,6,wd,1.05,0,0
apple,9,6,ml,0.6,0,0
apple,9,6,mh,2.6,0,0
apple,9,6,ed,1.1,0,0
apple,9,8,wd,0.4,0,0
apple,9,8,ml,1.3,0,0
apple,9,8,mh,1.65,0,0
apple,9,8,ed,0,0,0
apple,10,0,wd,0,0,0
apple,10,0,ml,0,0,0
apple,10,0,mh,0,0,0
apple,10,0,ed,0,0,0
apple,10,2,wd,0.6,0,0
apple,10,2,ml,0.83,0,0
apple,10,2,mh,2.26,0,0
apple,10,2,ed,0.4,0,0
apple,10,4,wd,0.3,0,0
apple,10,4,ml,0.61,0,0
apple,10,4,mh,2.9,0,0
apple,10,4,ed,0.1,0,0
apple,10,6,wd,1.89,0,0
apple,10,6,ml,0.8,0,0
apple,10,6,mh,3.9,0,0
apple,10,6,ed,1.91,0,0
apple,10,8,wd,1.3,0,0
apple,10,8,ml,1,0,0
apple,10,8,mh,2,0,0
apple,10,8,ed,0,0,0
apple,11,0,wd,0,0,0
apple,11,0,ml,0,0,0
apple,11,0,mh,0,0,0
apple,11,0,ed,0,0,0
apple,11,2,wd,0,0,0
apple,11,2,ml,0,0,0
apple,11,2,mh,0,0,0
apple,11,2,ed,0,0,0
apple,11,4,wd,1.2,0,0
apple,11,4,ml,0.7,0,0
apple,11,4,mh,4.1,0,0
apple,11,4,ed,0.75,0,0
apple,11,6,wd,1.3,0,0
apple,11,6,ml,0.6,0,0
apple,11,6,mh,1.95,0,0
apple,11,6,ed,1.6,0,0
apple,11,8,wd,0,0,0
apple,11,8,ml,0,0,0
apple,11,8,mh,0,0,0
apple,11,8,ed,0,0,0
apple,12,0,wd,0,0,0
apple,12,0,ml,0,0,0
apple,12,0,mh,0,0,0
apple,12,0,ed,0,0,0
apple,12,2,wd,0,0,0
apple,12,2,ml,0,0,0
apple,12,2,mh,0,0,0
apple,12,2,ed,0,0,0
apple,12,4,wd,1.2,0,0
apple,12,4,ml,0.55,0,0
apple,12,4,mh,2.25,0,0
apple,12,4,ed,0.55,0,0
apple,12,6,wd,0.45,0,0
apple,12,6,ml,0.65,0,0
apple,12,6,mh,1.2,0,0
apple,12,6,ed,0,0,0
apple,12,8,wd,0,0,0
apple,12,8,ml,0,0,0
apple,12,8,mh,0,0,0
apple,12,8,ed,0,0,0
apple,13,0,wd,0,0,0
apple,13,0,ml,0,0,0
apple,13,0,mh,0,0,0
apple,13,0,ed,0,0,0
apple,13,2,wd,0.95,0,0
apple,13,2,ml,0.73,0,0
apple,13,2,mh,3.7,0,0
apple,13,2,ed,1.55,0,0
apple,13,4,wd,1.65,0,0
apple,13,4,ml,0.55,0,0
apple,13,4,mh,5.2,0,0
apple,13,4,ed,2.15,0,0
apple,13,6,wd,1.45,0,0
apple,13,6,ml,1.15,0,0
apple,13,6,mh,3.75,0,0
apple,13,6,ed,0,0,0
apple,13,8,wd,0,0,0
apple,13,8,ml,0,0,0
apple,13,8,mh,0,0,0
apple,13,8,ed,0,0,0
apple,14,0,wd,0,0,0
apple,14,0,ml,1.2,0,0
apple,14,0,mh,1.8,0,0
apple,14,0,ed,0,0,0
apple,14,2,wd,2.15,0,0
apple,14,2,ml,1.1,0,0
apple,14,2,mh,3.45,0,0
apple,14,2,ed,2,0,0
apple,14,4,wd,2.4,0,0
apple,14,4,ml,0.55,0,0
apple,14,4,mh,5.73,0,0
apple,14,4,ed,2.45,0,0
apple,14,6,wd,1.55,0,0
apple,14,6,ml,0.55,0,0
apple,14,6,mh,4.55,0,0
apple,14,6,ed,2.25,0,0
apple,14,8,wd,1.3,0,0
apple,14,8,ml,0.55,0,0
apple,14,8,mh,2.7,0,0
apple,14,8,ed,2.1,0,0
apple,15,0,wd,0,0,0
apple,15,0,ml,1.8,0,0
apple,15,0,mh,2.45,0,0
apple,15,0,ed,1.6,0,0
apple,15,2,wd,1.55,0,0
apple,15,2,ml,1.75,0,0
apple,15,2,mh,4.05,0,0
apple,15,2,ed,1.8,0,0
apple,15,4,wd,1.7,0,0
apple,15,4,ml,0.65,0,0
apple,15,4,mh,5.3,0,0
apple,15,4,ed,2,0,0
apple,15,6,wd,1.15,0,0
apple,15,6,ml,0.95,0,0
apple,15,6,mh,4.05,0,0
apple,15,6,ed,1.35,0,0
apple,15,8,wd,0,0,0
apple,15,8,ml,3,0,0
apple,15,8,mh,3,0,0
apple,15,8,ed,0,0,0
apple,17,0,wd,0,0,0
apple,17,0,ml,0,0,0
apple,17,0,mh,0,0,0
apple,17,0,ed,0,0,0
apple,17,2,wd,1.05,0,0
apple,17,2,ml,0.8,0,0
apple,17,2,mh,4,0,0
apple,17,2,ed,0.8,0,0
apple,17,4,wd,1.82,0,0
apple,17,4,ml,0.75,0,0
apple,17,4,mh,5.84,0,0
apple,17,4,ed,1.73,0,0
apple,17,6,wd,1.4,0,0
apple,17,6,ml,0.8,0,0
apple,17,6,mh,3.05,0,0
apple,17,6,ed,1.5,0,0
apple,17,8,wd,0.7,0,0
apple,17,8,ml,1.7,0,0
apple,17,8,mh,3.05,0,0
apple,17,8,ed,0.7,0,0
apple,18,0,wd,0.1,0,0
apple,18,0,ml,0.8,0,0
apple,18,0,mh,2.65,0,0
apple,18,0,ed,0.1,0,0
apple,18,2,wd,1.05,0,0
apple,18,2,ml,0.9,0,0
apple,18,2,mh,3.9,0,0
apple,18,2,ed,0.65,0,0
apple,18,4,wd,2,0,0
apple,18,4,ml,0.6,0,0
apple,18,4,mh,5.75,0,0
apple,18,4,ed,1.4,0,0
apple,18,6,wd,0.8,0,0
apple,18,6,ml,0.85,0,0
apple,18,6,mh,3.1,0,0
apple,18,6,ed,0.8,0,0
apple,18,8,wd,0,0,0
apple,18,8,ml,0,0,0
apple,18,8,mh,0,0,0
apple,18,8,ed,0,0,0
apple,19,0,wd,0,0,0
apple,19,0,ml,0,0,0
apple,19,0,mh,0,0,0
apple,19,0,ed,0,0,0
apple,19,2,wd,0.75,0,0
apple,19,2,ml,0.9,0,0
apple,19,2,mh,4.2,0,0
apple,19,2,ed,0.75,0,0
apple,19,4,wd,2.35,0,0
apple,19,4,ml,0.65,0,0
apple,19,4,mh,5.8,0,0
apple,19,4,ed,1.4,0,0
apple,19,6,wd,2.15,0,0
apple,19,6,ml,0.55,0,0
apple,19,6,mh,4.2,0,0
apple,19,6,ed,0.75,0,0
apple,19,8,wd,0.5,0,0
apple,19,8,ml,2.45,0,0
apple,19,8,mh,2.8,0,0
apple,19,8,ed,0.25,0,0
apple,20,0,wd,0.25,0,0
apple,20,0,ml,1,0,0
apple,20,0,mh,1.75,0,0
apple,20,0,ed,0.3,0,0
apple,20,2,wd,1,0,0
apple,20,2,ml,0.5,0,0
apple,20,2,mh,3.21,0,0
apple,20,2,ed,1.55,0,0
apple,20,4,wd,1.9,0,0
apple,20,4,ml,0.62,0,0
apple,20,4,mh,5.13,0,0
apple,20,4,ed,1.93,0,0
apple,20,6,wd,1.09,0,0
apple,20,6,ml,0.65,0,0
apple,20,6,mh,4.2,0,0
apple,20,6,ed,1.04,0,0
apple,20,8,wd,0.32,0,0
apple,20,8,ml,1.11,0,0
apple,20,8,mh,2.39,0,0
apple,20,8,ed,0.8,0,0
