species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,4,9,,8,3,220,,20,136,20.3,,26,5,8,352.3,,352.3,226.9,,,2.092,0.518,0.64
apple,4,10,,1,2,160,,-5,69,36.6,,10,1,16,485.2,,485.2,174,,,0.767,0.333,0.076
apple,4,11,,10,2,140,,0,29,29.5,,1,0,6,113.1,,113.1,86.8,,,0.42,0.806,0.233
apple,4,12,,11,3,210,,20,73.5,17.7,,14,1,12,133,,133,175.6,,,2.534,0.6,1.176
apple,4,13,,1,1,0,,90,62,75.2,,11,3,21,1674.4,,13395.2,167.2,,,0.689,0.684,0.264
apple,4,14,,13,2,270,,0,31,21.7,,2,4,6,79.6,,79.6,87.1,,,0.5,0.289,0.048
apple,4,15,,13,2,120,,-5,97,16.1,,16,2,17,146.6,,146.6,198.7,,,1.565,0.214,0.088
apple,4,16,,13,2,340,,0,49.5,19.8,,4,4,7,93.9,,93.9,56.9,,,0.798,0.263,0.056
apple,4,17,,13,1,0,,90,36,65.2,,7,1,15,713.7,,3568.5,117.2,,,0.581,0.867,0.426
apple,4,18,,17,2,310,,10,91,21.3,,10,2,18,178.9,,178.9,131.9,,,2.528,0.327,0.251
apple,4,19,,17,1,0,,90,8,61.3,,1,0,1,137.4,,549.6,135.5,,,0.222,0.94,0.193
apple,4,20,,19,2,150,,0,96,21.5,,18,3,10,147.8,,147.8,83.4,,,12,0.351,1.076
apple,4,21,,19,1,0,,90,63.5,54.6,,8,3,17,826.1,,2478.3,173,,,7.938,0.891,6.012
apple,4,22,,21,2,340,,0,125,16,,15,9,13,192.4,,192.4,98.1,,,1.969,0.293,0.233
apple,4,23,,21,1,0,,90,8,45.3,,0,0,1,83.5,,167,,,,0.126,0.83,0.101
apple,4,24,,23,2,230,,0,111,14.8,,14,8,18,138.2,,138.2,102.9,,,13.875,0.327,1.655
apple,4,25,,23,1,0,,90,14,42,,-1,4,5,125.4,,125.4,59.9,,,1.75,0.927,1.502
apple,4,26,,25,2,150,,0,78,21.5,,17,1,9,229.4,,229.4,205.1,,,5.571,0.512,1.829
apple,5,1,,0,1,0,,90,85,85,,0,0,11,3710.8,,37108,,,,NA,NA,NA
apple,5,2,,1,2,145,,0,153,29.5,,20,3,30,750.1,,750.1,618,,,1.8,0.347,0.202
apple,5,3,,1,2,295,,10,97,44.7,,8,5,23,764.8,,764.8,541.5,,,1.141,0.526,0.206
apple,5,4,,3,3,170,,0,34,26.6,,3,0,6,98.2,,98.2,182.8,,,0.351,0.595,0.128
apple,5,5,,1,2,245,,0,62,36,,6,1,10,410.9,,410.9,296,,,0.729,0.424,0.111
apple,5,6,,5,2,105,,45,76.5,20.9,,7,2,12,188.8,,188.8,210.7,,,1.234,0.581,0.459
apple,5,7,,1,2,20,,10,155,35.3,,16,3,33,932.8,,932.8,572.6,,,1.824,0.415,0.251
apple,5,8,,1,1,0,,90,44.5,49.7,,1,0,18,554.3,,3325.8,7.2,,,0.524,0.585,0.149
apple,5,9,,8,2,155,,0,58,16.5,,5,0,14,81.4,,81.4,89,,,1.303,0.332,0.147
apple,5,10,,8,1,0,,90,37,46.5,,8,0,8,389.4,,1947,91.3,,,0.831,0.936,0.703
apple,5,11,,10,2,290,,-15,131,16.6,,22,3,15,186.2,,186.2,77.7,,,3.541,0.357,0.478
apple,5,12,,10,2,75,,10,60,18.1,,9,2,6,106,,106,76.4,,,1.622,0.389,0.272
apple,5,13,,10,2,220,,0,90,21.3,,13,2,25,293.4,,293.4,214.8,,,2.432,0.458,0.753
apple,5,14,,10,1,0,,90,28.5,34.1,,0,0,4,144,,288,,,,0.77,0.733,0.37
apple,5,15,,14,2,310,,0,82.5,11.3,,14,4,16,80.4,,80.4,44.8,,,2.895,0.331,0.558
apple,5,16,,14,1,55,,70,25,32,,0,0,9,119.6,,119.6,,,,0.877,0.938,0.831
apple,5,17,,16,1,215,,55,132,22.8,,22,1,16,290.8,,290.8,129.7,,,5.28,0.712,2.431
apple,6,1,64,0,1,,,,85,90,,0,0,8,3819,,38190,0,,,NA,NA,NA
